Data,E72870000,E72849000,E72810000,E72715000,E72680000,E72630000,E72430000
1985-02-18,"0,0091666667","0,0493326817","0,0562040299","0,0478629103","0,0674283333","0,034803975","0,0401200309"
1985-02-19,"0,008452381","0,0455294573","0,0522103483","0,0447288837","0,049158224","0,0338429321","0,0325705247"
1985-02-20,"0,054","0,0663002246","0,0634451741","0,0569742703","0,0925883607","0,0633598929","0,0509630185"
1985-02-21,"0,0278095238","0,0732674633","0,0777132836","0,067882929","0,1133152186","0,0964793929","0,1086401852"
1985-02-22,"0,0156809524","0,0560993554","0,0613439801","0,0549048851","0,1067835792","0,0854710714","0,1218042593"
1985-02-23,"0,0161666667","0,0499912632","0,0562040299","0,0496113959","0,0641271038","0,0503046071","0,0779915432"
1985-02-24,"0,0071095238","0,0295838194","0,0339037363","0,0310595109","0,0396754645","0,0316153821","0,0401200309"
1985-02-25,"0,0077380952","0,0190769978","0,0214281891","0,021253956","0,0284664208","0,0224622607","0,0275950679"
1985-02-26,"0,0071095238","0,0198197349","0,0228732189","0,0221192999","0,0231961803","0,0175025393","0,0226740247"
1985-02-27,"0,0071095238","0,0184954755","0,0214281891","0,0208991541","0,0200453934","0,0146600071","0,0190250309"
1985-02-28,"0,0071095238","0,0165615664","0,0193253383","0,0192436498","0,0148506339","0,0126897821","0,0166154938"
1985-03-01,"0,0064809524","0,0136644726","0,015998801","0,0166196391","0,0134291503","0,0112690714","0,0148220926"
1985-03-02,"0,0061666667","0,0114928638","0,0135048856","0,014659959","0,0122937158","0,0098998357","0,0136337284"
1985-03-03,"0,0058904762","0,0113897546","0,0135048856","0,0146092051","0,0107799918","0,0092353714","0,0124516543"
1985-03-04,"0,0038333333","0,0099841734","0,0123160945","0,0135328652","0,0097535683","0,0083711821","0,0112764012"
1985-03-05,"0,0050619048","0,009251129","0,0111674129","0,0127254376","0,0089656803","0,0079486929","0,0106915247"
1985-03-06,"0,0064809524","0,0095051237","0,0111674129","0,01281676","0,0082076311","0,0079486929","0,0103998086"
1985-03-07,"0,0064809524","0,012393065","0,0147327612","0,015502993","0,0082076311","0,0075327893","0,0101085926"
1985-03-08,"0,0058904762","0,0128170842","0,0153610647","0,0159436147","0,0078398852","0,0079486929","0,0098178827"
1985-03-09,"0,0058904762","0,0113539049","0,0135048856","0,0145305841","0,0083943333","0,0081591214","0,0095277037"
1985-03-10,"0,0040714286","0,0101479891","0,0123160945","0,0135105109","0,0101586202","0,0088001179","0,0095277037"
1985-03-11,"0,0064809524","0,0106871001","0,0123160945","0,0137493557","0,0107799918","0,0108068107","0,0112764012"
1985-03-12,"0,0064809524","0,009665072","0,0111674129","0,0128409331","0,0101586202","0,0094553286","0,0106915247"
1985-03-13,"0,0064809524","0,0086820093","0,0100599453","0,0119242332","0,0093559098","0,0075327893","0,0089489691"
1985-03-14,"0,0064809524","0,0078117656","0,0089948905","0,0110675669","0,0083943333","0,0069215964","0,007227"
1985-03-15,"0,0064809524","0,006868086","0,007973597","0,0103039547","0,0071271202","0,0063260714","0,0077984753"
1985-03-16,"0,0067952381","0,0077847515","0,0089948905","0,0111025187","0,0067821803","0,0067213179","0,0075124074"
1985-03-17,"0,0033952381","0,0063095386","0,007973597","0,0101496034","0,0067821803","0,0075327893","0,0086604506"
1985-03-18,"0,0058904762","0,005988958","0,0069975522","0,0095598773","0,0074797022","0,0071236143","0,0086604506"
1985-03-19,"0,0058904762","0,0055827943","0,00652701","0,0091615892","0,006953694","0,0063260714","0,0075124074"
1985-03-20,"0,0061666667","0,0059550205","0,0069975522","0,0095139167","0,0059535246","0,0055574286","0,006942284"
1985-03-21,"0,0064809524","0,005251693","0,0060684229","0,0088364846","0,0054796475","0,0057468","0,006942284"
1985-03-22,"0,0064809524","0,0052453355","0,0060684229","0,0088315835","0,0056356503","0,0055574286","0,006942284"
1985-03-23,"0,0064809524","0,0057775208","0,00652701","0,0095247764","0,0107799918","0,01173705","0,0172159938"
1985-03-24,"0,0038333333","0,0116438983","0,0089948905","0,0133116867","0,0818889344","0,0753718571","0,0717446914"
1985-03-25,"0,0071095238","0,0097647037","0,0100599453","0,0140898438","0,0529471038","0,0429506071","0,0796406173"
1985-03-26,"0,0074238095","0,0084890038","0,0111674129","0,0154110716","0,0363553552","0,0322496607","0,103602284"
1985-03-27,"0,0074238095","0,0085608792","0,0100599453","0,0133199947","0,0253077896","0,023323875","0,0548256111"
1985-03-28,"0,0074238095","0,0074470862","0,0084786866","0,0117476554","0,0214520464","0,0196613643","0,0413872469"
1985-03-29,"0,0074238095","0,007064096","0,007973597","0,0111654849","0,0186816011","0,0172379929","0,0344487716"
1985-03-30,"0,0064809524","0,0059916989","0,0069975522","0,0102537655","0,0165894781","0,0149121643","0,031322"
1985-03-31,"0,0029952381","0,0045834959","0,0060684229","0,0091963551","0,0146092787","0,0134186786","0,0269767778"
