"","E83675000","E83345000","E83029900","E83660000","E83800002","E83892998","E83900000","E83440000","E83690000","E83250000","E83880000","E83300200","E83892990","E83105000","E83050000","E83677000","E83069900","E83520000"
"1985-01-01",0.0251865671641791,0.00755244755244755,0.00942021604938281,0.0274755927475592,0.0145725662967042,0.0227347416361341,0.027053306451613,0.0190990990990991,0.0152335837563451,0.0248133333333334,0.0538461538461539,0.0193992248062016,0.033304563821821,0.0278965437788019,0.00135987261146497,0.0175445868868738,0.000560649746192965,0.012430357507661
"1985-01-02",0.0237313432835822,0.00671328671328664,0.00942021604938281,0.0180195258019527,0.017453189866983,0.0225571783641072,0.026075564516129,0.00879279279279288,0.018914538071066,0.0208860606060606,0.0557692307692308,0.0226744186046512,0.0305201905526431,0.022426728110599,0.00135987261146497,0.0149298585348649,0.000823664974619387,0.0144794382022473
"1985-01-03",0.0227611940298507,0.00635384615384615,0.0106811728395062,0.0165969316596932,0.0139794967381175,0.0202612243208733,0.0241634677419356,0.00773573573573572,0.0146685989847715,0.0142925454545455,0.0396634615384615,0.0162790697674418,0.0251482699185726,0.0142172811059909,0.00135987261146497,0.0137918738706506,0.000688548223350294,0.0132329724208375
"1985-01-04",0.0217910447761194,0.00563496503496497,0.0111253086419754,0.0137656903765691,0.0119461153943912,0.0179460645105662,0.0232292741935485,0.00696096096096088,0.012291076142132,0.0119487272727272,0.0360096153846154,0.011984496124031,0.0212002589809668,0.0121603686635945,0.00145732484076433,0.0140605711966375,0.000560649746192965,0.00944972420837598
"1985-01-05",0.0277985074626865,0.00527552447552448,0.00826311728395068,0.0125523012552302,0.0102516309412861,0.0215221176430296,0.0263999193548388,0.00622222222222213,0.0108515329949239,0.0104833818181818,0.157115384615385,0.00930232558139532,0.0218452995689551,0.0116783410138248,0.00126242038216562,0.0168483072911598,0.00051972588832494,0.00809938712972413
"1985-01-06",0.0270522388059702,0.00527552447552448,0.00754737654320992,0.0137656903765691,0.010166906718631,0.0216446807076385,0.0297301612903227,0.00572972972972963,0.0108515329949239,0.0097805333333334,0.0942307692307693,0.0100290697674419,0.0246472207488551,0.0116783410138248,0.00106751592356691,0.0170278484436084,0.000443076142131904,0.00730362614913171
"1985-01-07",0.0274253731343284,0.00951048951048961,0.0220797839506173,0.0149790794979079,0.0100821824959756,0.0193220065667192,0.0244781451612903,0.00984984984984982,0.0108515329949239,0.0119487272727272,0.0480769230769231,0.00988372093023249,0.0246117734569142,0.0239108294930876,0.00106751592356691,0.0171273191715982,0.000469583756345093,0.00793725229826348
"1985-01-08",0.0277985074626865,0.00979720279720286,0.0180736111111111,0.0199163179916317,0.0133017029568754,0.0205079500069225,0.0232292741935485,0.0161561561561561,0.0138463654822334,0.0243072545454546,0.05,0.017267441860465,0.0288660901552786,0.0254573732718895,0.00106751592356691,0.0170353461429935,0.000469583756345093,0.0112693054136874
"1985-01-09",0.0263059701492536,0.00895104895104892,0.0156933641975308,0.0141701534170153,0.0150809116326358,0.0191627789286632,0.0226146774193547,0.0104804804804806,0.0158122030456853,0.0123273272727273,0.0405769230769231,0.0162790697674418,0.023097789135742,0.012655069124424,0.000872611464968198,0.014818268342774,0.000469583756345093,0.0140583043922369
"1985-01-10",0.016641791044776,0.00671328671328664,0.0180736111111111,0.0114728033472804,0.0122850122850122,0.0168246552863178,0.0220066129032257,0.00800000000000001,0.0127964568527918,0.00943666666666676,0.0387500000000001,0.011984496124031,0.01981887842546,0.0107518433179723,0.000872611464968198,0.0118419353937369,0.000469583756345093,0.00944972420837598
