"","E70500000","E70300000","E70200000","E70100000","E86100000","E86160000"
"1985-01-01",0.00981818181818173,0.00852991452991447,0.0068900709219859,0.0482176360225142,0.00747252747252758,0.00664285714285717
"1985-01-02",0.00868000000000002,0.00888888888888895,0.0242907801418439,0.0399624765478424,0.00692307692307703,0.00543749999999998
"1985-01-03",0.00754181818181809,0.0110256410256411,0.0232269503546099,0.023076923076923,0.00637362637362626,0.00412499999999993
"1985-01-04",0.00697272727272735,0.00817094017094022,0.0112234042553192,0.0148780487804878,0.00582417582417571,0.00335714285714284
"1985-01-05",0.00640363636363639,0.00601709401709405,0.0073936170212765,0.0121200750469044,0.00546703296703299,0.00302678571428561
"1985-01-06",0.00640363636363639,0.00565811965811958,0.0064858156028369,0.010187617260788,0.00510989010989005,0.00268749999999995
"1985-01-07",0.00640363636363639,0.00709401709401702,0.00628368794326239,0.00889305816135089,0.00692307692307703,0.00235714285714295
"1985-01-08",0.00583454545454543,0.0074529914529915,0.00608156028368789,0.00823639774859286,0.00692307692307703,0.00235714285714295
"1985-01-09",0.00583454545454543,0.00673504273504277,0.00628368794326239,0.00759849906191379,0.00582417582417571,0.00219642857142865
"1985-01-10",0.00526545454545446,0.00471794871794873,0.00567730496453911,0.00759849906191379,0.00528846153846163,0.00202678571428572
"1985-01-11",0.00526545454545446,0.00412820512820522,0.00491489361702135,0.00714821763602247,0.00475274725274732,0.00183035714285706
"1985-01-12",0.00526545454545446,0.00383760683760692,0.00444680851063839,0.00669793621013137,0.00403846153846144,0.00162499999999999
"1985-01-13",0.00526545454545446,0.00354700854700862,0.00413475177304967,0.00669793621013137,0.00439560439560438,0.00162499999999999
"1985-01-14",0.0139090909090909,0.00354700854700862,0.00382269503546095,0.0557223264540339,0.00546703296703299,0.00162499999999999
"1985-01-15",0.0114545454545454,0.00354700854700862,0.00413475177304967,0.0324577861163227,0.00457417582417574,0.00162499999999999
"1985-01-16",0.013090909090909,0.00601709401709405,0.0066879432624114,0.0213883677298312,0.00719780219780231,0.00183035714285706
"1985-01-17",0.0114545454545454,0.00888888888888895,0.00547517730496461,0.0156848030018761,0.00564560439560435,0.00183035714285706
"1985-01-18",0.00924909090909098,0.0074529914529915,0.00491489361702135,0.0121200750469044,0.00475274725274732,0.00162499999999999
"1985-01-19",0.00754181818181809,0.00601709401709405,0.00547517730496461,0.00953095684802996,0.00439560439560438,0.00142857142857133
"1985-01-20",0.00640363636363639,0.00500854700854703,0.00460283687943264,0.00759849906191379,0.00403846153846144,0.00133035714285712
"1985-01-21",0.00469636363636372,0.00383760683760692,0.00413475177304967,0.00669793621013137,0.00377142857142854,0.00122321428571426
"1985-01-22",0.00469636363636372,0.00354700854700862,0.00382269503546095,0.00579737335834896,0.00350439560439564,0.00102678571428561
"1985-01-23",0.00469636363636372,0.00295726495726489,0.00351063829787224,0.00489681050656654,0.00337087912087908,0.00102678571428561
"1985-01-24",0.00412727272727276,0.00354700854700862,0.00351063829787224,0.00399624765478435,0.00323736263736274,0.00102678571428561
"1985-01-25",0.00412727272727276,0.00295726495726489,0.00328368758865238,0.00399624765478435,0.0115604395604396,0.00102678571428561
"1985-01-26",0.00412727272727276,0.0023760683760683,0.0050709219858156,0.00399624765478435,0.00637362637362626,0.00102678571428561
"1985-01-27",0.0038645454545454,0.0023760683760683,0.00547517730496461,0.00399624765478435,0.00439560439560438,0.00102678571428561
"1985-01-28",0.0038645454545454,0.00217948717948713,0.0050709219858156,0.00399624765478435,0.0100659340659341,0.0017232142857142
"1985-01-29",0.00640363636363639,0.00295726495726489,0.00444680851063839,0.00534709193245786,0.0123076923076924,0.00335714285714284
"1985-01-30",0.00526545454545446,0.0023760683760683,0.0092021276595744,0.00489681050656654,0.00637362637362626,0.00302678571428561
"1985-01-31",0.00469636363636372,0.00217948717948713,0.0068900709219859,0.028517823639775,0.00582417582417571,0.00335714285714284
"1985-02-01",0.013090909090909,0.0023760683760683,0.00547517730496461,0.0221388367729831,0.00692307692307703,0.00543749999999998
"1985-02-02",0.120181818181818,0.00295726495726489,0.00980496453900703,0.126078799249531,0.00637362637362626,0.00973214285714286
"1985-02-03",0.0284727272727272,0.00325641025641032,0.0217730496453901,0.0583489681050657,0.00692307692307703,0.00910714285714276
"1985-02-04",0.0163636363636364,0.00412820512820522,0.0301418439716312,0.072232645403377,0.00931868131868141,0.00973214285714286
"1985-02-05",0.0155454545454545,0.0158119658119658,0.0280141843971631,0.0596622889305816,0.0149120879120879,0.00910714285714276
"1985-02-06",0.0147272709090909,0.0105982905982906,0.0168085106382978,0.04953095684803,0.00802197802197813,0.00587500000000007
"1985-02-07",0.0147272709090909,0.00781196581196575,0.0092021276595744,0.0399624765478424,0.00582417582417571,0.00456250000000002
"1985-02-08",0.0249818181818182,0.00673504273504277,0.0068900709219859,0.0324577861163227,0.00475274725274732,0.00368750000000007
"1985-02-09",0.0163636363636364,0.00601709401709405,0.00587943262411339,0.028517823639775,0.00439560439560438,0.00566071428571435
"1985-02-10",0.0139090909090909,0.0074529914529915,0.00799645390070913,0.024953095684803,0.00510989010989005,0.0084375000000001
"1985-02-11",0.0114545454545454,0.0101709401709402,0.00950354609929072,0.0196998123827392,0.00774725274725285,0.0084375000000001
"1985-02-12",0.0147272709090909,0.0131623931623932,0.011595744680851,0.0275797373358349,0.00802197802197813,0.00587500000000007
"1985-02-13",0.0203272727272727,0.0162393162393162,0.0301418439716312,0.0752345215759851,0.0100659340659341,0.0190178571428572
