Cdigo,1,2,3,4,5,6,7,8,9,10,11,12,ANUAL,DJF,MAM,JJA,SON,Latitude,Longitude,Cota
2649053,"163,846668","148,496666","114,710001","89,146666","117,746667","100,626666","121,043333","94,63","134,486666","168,11","118,990001","144,62","1516,453334","456,963334","321,603334","350,159999","421,586667","7021175,29","618893,995",398
2649054,"179,893333","159,713792","131,131035","92,744827","123,034484","113,48276","144,979311","107,162069","153,910345","164,520691","140,855173","160,617241","1672,045061","500,224366","346,910346","406,051725","459,286209","7065028,5","615209,743",942
2649055,"175,236665","154,58","109,596667","83,42","112,68","101,633333","129,153333","97,693333","139,959999","154,88","121,523334","151,176668","1531,533332","480,993333","305,696667","366,806665","416,363333","7077065,02","642304,469",851
2649056,"164,930002","147,913332","118,67","88,129999","123,619999","111,196666","131,990001","102,313333","138,46","166,076667","116,860001","166,82","1576,980001","479,663334","330,419998","372,763334","421,396668","7087007,26","607061,696",862
2649057,"191,396666","175,176667","124,213334","94,666666","114,773333","108,566666","117,866667","89,883333","138,823333","140,493334","121,770001","161,11","1578,739999","527,683333","333,653333","346,573332","401,086668","7102516,63","672544,534",887
2649058,"150,593103","135,262068","106,868966","86,203448","112,858621","97,399999","126,868965","92,072414","128,886207","153,64138","114,262069","152,36","1457,27724","438,215171","305,931035","347,827586","396,789656","7046522,41","616590,179",383
2649060,"308,965387","270,607691","218,611538","145,599999","145,199999","129,592","155,672001","110,584","213,520001","222,552","194,557692","218,93077","2334,393077","798,503848","509,411536","479,776001","630,629693","7098983,98","691764,541",705
2649061,"172,169232","152,056001","107,992001","88,56","93,988","92,823999","122,434615","91,946155","129,042307","162,268","120,946154","141,22963","1475,456092","465,454863","290,540001","343,423076","412,256461","7024492,53","631866,035",279
2650000,"167,483334","159,489999","122,926667","99,75","139,080002","123,006667","131,79","110,766667","168,133334","190,093334","134,793334","147,073332","1694,386669","474,046665","361,756669","410,690001","493,020002","7083073,54","570749,644",782
2650008,"169,623332","167,393334","121,216667","105,803334","141,573334","117,016666","133,266666","96,313333","147,16","186,616667","147,029999","155,873332","1688,886662","492,889998","368,593335","376,739999","480,806666","7081785,63","512136,999",751
2650014,"187,493331","201,826666","147,08","91,037931","117,646667","94,923333","116,313332","100,52","141,872414","178,496552","136,524138","158,062069","1671,796434","547,382066","355,764598","358,705745","456,893104","7019357,78","585038,524",578
2650015,"160,603333","162,21","141,739999","91,476667","127,506667","102,56","125,15","96,416668","144,936666","179,429999","130,660001","150,806666","1613,496667","473,619999","360,723333","366,503335","455,026666","7045446,74","570541,538",814
2650016,"173,876666","168,693335","139,106667","108,6","140,433332","120,653333","134,68","111,353333","157,380002","198,253335","146,326667","152,923332","1752,280003","495,493333","388,139999","403,413335","501,960004","7062686,46","539731,155",874
2650018,"155,976665","151,336668","106,26","95,226666","139,116666","116,796667","132,136667","100,606667","148,036666","185,823333","144,966666","157,310001","1633,593331","464,623334","340,603332","380,78","478,826665","7085342,17","535366,724",773
2651000,"149,983333","163,909999","124,106897","115,172414","154,320691","130,917242","136,465517","105,858619","158,69655","195,475862","142,19","152,429999","1729,527122","466,323331","393,600002","401,020685","496,362412","7099047,22","491982,213",751
2651001,"184,98","185,19","129,309999","160,683333","150,676668","146,916667","158,386667","134,293333","167,899999","225,939999","173,596667","178,866666","1996,739998","549,036666","440,67","460,58","567,436665","7027335,03","420896,667",1047
2651003,"167,943334","181,249999","136,94","124,47","156,131035","141,348275","139,934482","106,606898","159,768965","194,85862","159,520688","160,486207","1829,258504","509,67954","417,541035","406,310345","514,148273","7081455,11","472874,668",878
2651004,"159,742859","158,151724","127,903449","116,87931","166,206896","127,978571","150,996428","105,260714","157,335713","196,371429","142,060714","164,7","1773,587807","482,594583","410,989655","413,592855","495,767856","7105830,29","478347,765",779
