ID,Estação,Nome,Latitude,Longitude,,Estat,Longitude,Latitude
233,84520000,DIVISA DE ANITAPOLIS,6901871.006,685325.894,,E84520000,686823.3,6915993.24
247,84520010,SANTA ROSA DE LIMA,6897750.659,684989.046,,E84520010,682409.4,6912964.09
246,84551000,RIO PEQUENO,6878012.769,677074.431,,E84551000,665792.38,6886307.61
232,84559800,BRACO DO NORTE-MONTANTE,6875009.068,680274.243,,E84559800,681370.84,6904309.39
249,84560000,SÃO LUDGERO I,6865398.561,678548.096,,E84560000,676956.94,6894962.31
245,84580000,RIO DO POUSO,6854854.568,685465.866,,E84580000,670725.56,6882499.55
250,84598002,SAO MARTINHO-JUSANTE  (PCD),6882835.797,699192.409,,E84598002,702055.57,6901626.43
251,84800000,SERRINHA - JUS 200 M - CASAN,6834159.861,641697.27,,E84800000,636452.94,6838447.12
236,84820000,FORQUILHINHA,6816004.251,649042.315,,E84820000,648136.79,6838706.76
237,84853000,FOZ DO MANUEL ALVES,6804361.215,639700.144,,E84853000,625115.29,6822089.74
253,84949000,TURVO,6796610.893,625093.553,,E84949000,610056.11,6811963.74
244,84970000,PRAIA GRANDE,6769914.596,600827.082,,E84970000,590756.13,6763843.61
271,86100000,PASSO DO GABRIEL,6813494.238,549322.812,,E86100000,579701.61,6803041.13
