Estat	Longitude	Latitude	mu_ANO	sigma_ANO	mu_DJF	sigma_DJF	mu_MAM	sigma_MAM	mu_JJA	sigma_JJA	mu_SON	sigma_SON
E74100000	461974,19	6951564,05	-3,9244005883	0,8212052765	-4,1243805239	0,7109270236	-4,2048413172	0,8314875184	-3,7469170372	0,8221553951	-3,6219661765	0,7620433636
E74270000	301862,23	6915733,59	-3,9501072125	1,0180746328	-4,2361791213	0,844243817	-4,3665742894	1,0918386918	-3,6261865469	0,9511802273	-3,5728094827	0,910188039
E74295000	277282,88	7028504,34	-4,23706811	1,2696554249	-4,5670410462	1,2001339228	-4,5165612815	1,3589549384	-4,0310808167	1,1600917995	-3,8354778516	1,1929000239
E74320000	283427,72	7062430,76	-4,2575041216	1,2280836775	-4,5234058967	1,1536619404	-4,5024388843	1,3360433811	-4,0813666162	1,0827674616	-3,9242218426	1,2126021305
E74370000	255126,85	6936937,61	-3,7422859516	0,7812645965	-3,9146481682	0,6637395322	-4,0699223357	0,8033047451	-3,5110001847	0,7670968919	-3,4739538282	0,7082239876
E74470000	232451,54	6930879,32	-3,9423403686	0,8609165993	-4,1353895928	0,7230271741	-4,3039541968	0,8903159288	-3,6834809108	0,8461382154	-3,6470198844	0,7791657508
E82270050	695218,36	7107694,85	-3,1386822018	0,7624736805	-2,867479144	0,7400271862	-3,1383088672	0,6384218738	-3,4747141594	0,7738240614	-3,0756293466	0,7620520154
E82320000	660166,82	7076105,19	-3,4006926619	0,7739384399	-3,2082392303	0,7406183252	-3,5081098204	0,7534583392	-3,5740118617	0,8024442329	-3,3077385653	0,7401464196
E82350000	671158,29	7079134,34	-3,7666390336	0,8256499856	-3,5186972035	0,8092077094	-3,7924039021	0,7288246716	-4,0578081288	0,8518780771	-3,6921206323	0,814332899
E82370000	681370,84	7061565,29	-3,5138799123	0,8940207353	-3,2581852614	0,84537614	-3,5437490291	0,8382998938	-3,779067602	0,9596625392	-3,4691680006	0,8478911973
E82549000	688986,97	7088135,22	-3,3432801774	0,7413208093	-3,1488101213	0,7567505391	-3,2649502297	0,6155818853	-3,5939728117	0,7426361387	-3,3618906761	0,7678252174
E82770000	705517,45	7082423,12	-3,3608676102	1,0498376083	-2,91869295	1,0036708779	-3,3127306123	0,9209486606	-3,8477252506	1,0558866426	-3,3558562254	1,0020967599
E83029900	581692,05	7019686,3	-4,0898188498	0,9520444236	-3,9159665679	0,945813899	-4,2085870983	0,8720556774	-4,2856151355	0,9131646634	-3,944216996	1,0172259595
E83050000	585499,83	7008347,7	-4,0937107257	1,1847793573	-4,0004897246	1,3008246791	-4,2408543877	1,1576424264	-4,2599743775	1,079519023	-3,8693120718	1,1463208242
E83069900	615702,5	6961262,21	-4,277135348	0,9482976243	-4,2113978213	0,9584225614	-4,4149630916	0,8648071181	-4,4066212384	0,8867417967	-4,0720799353	1,0319261783
E83105000	669790,36	6929669,93	-4,3513888808	0,8776414938	-4,2274802297	0,8656036155	-4,5725788481	0,7899924193	-4,4574437008	0,8583684844	-4,1434354229	0,9237748071
E83250000	650578,35	6945076,58	-4,1945294242	0,8737918921	-4,1049176583	0,8548150898	-4,4740971553	0,8166690117	-4,2315990876	0,886682289	-3,9632857054	0,8537469752
E83300200	620894,93	6978659,61	-4,0284509083	0,8172643082	-3,9387245526	0,8463916345	-4,2130277778	0,7502712167	-4,1088055827	0,8022805657	-3,8495948815	0,8183026748
