"","nomes","ANO","DJF","MAM","JJA","SON","areas"
"1","E72870000",0.286193048936833,0.28281503624123,0.245617783820066,0.286801159321697,0.271390678648222,420
"2","E72849000",0.335320863642758,0.355541272321864,0.311272286591747,0.315600013897636,0.310469074616845,3710
"3","E72810000",0.366155751214461,0.38020918203418,0.342248193841751,0.343386463886222,0.346856955393203,2010
"4","E72715000",0.380513861188048,0.402483970974403,0.364512545448512,0.354069562916714,0.343800425182262,801
"5","E72680000",0.395370223268335,0.428650806095491,0.343605212612685,0.381660234029957,0.370092198848269,3660
"6","E72630000",0.449719033627131,0.474779179061354,0.400832743237729,0.426404351277429,0.428640492310533,2800
"7","E72430000",0.440413709150782,0.460005361549384,0.384584512196301,0.419079386232645,0.42221000406063,1620
"8","E70500000",0.29463878763021,0.295760643081412,0.294290291520609,0.281739528740808,0.274255990050208,550
"9","E70300000",0.281899437933464,0.298136286162893,0.276163358765255,0.2541366868456,0.270174478863035,1170
"10","E70200000",0.336703680029402,0.349100153464637,0.360003589388392,0.297070471105773,0.314442972226825,2820
"11","E70100000",0.330294585345807,0.34595411463623,0.346907121075198,0.283014240990043,0.300069568479483,533
"12","E86100000",0.340044310154675,0.338949942937834,0.346054263937946,0.312116851502096,0.318129377623123,1820
"13","E86160000",0.315366179336967,0.295454548822023,0.323553925446782,0.295624156235727,0.294918562317348,1120
"14","E71550000",0.479948173882622,0.498419994365359,0.454660035765171,0.434819695386779,0.447587464924242,10000
"15","E71498000",0.516022394804911,0.518511002819471,0.506157643859406,0.494717341449711,0.476895979033851,3680
"16","E71383000",0.477841168587137,0.482476564868931,0.457198209880364,0.433612922120169,0.451056143415092,4610
"17","E71350001",0.50466761384494,0.492539318324872,0.489657286062157,0.465072757219712,0.471103575092016,3230
"18","E71300000",0.489916774448457,0.483196017380424,0.479461105120155,0.461803445788059,0.452857571151998,2000
"19","E71250000",0.364165326398371,0.355515738934524,0.371005610624127,0.337974387001222,0.351319483517772,489
