"","meanlog","sdlog"
"E72870000",-4.57610128478326,1.01438110829656
"E72849000",-4.27158933984124,0.952456801943256
"E72810000",-4.21287867471078,0.902156010152367
"E72715000",-4.31304606275083,1.04191055703566
"E72680000",-4.31725262611831,0.847810163830414
"E72630000",-4.35370310017878,0.797209980601032
"E72430000",-4.437235244849,0.824286198851717
"E70500000",-4.25430327196958,1.02817675430583
"E70300000",-4.27938451567923,1.04384541181163
"E70200000",-3.99743522104234,0.870831068964652
"E70100000",-3.82631707509399,0.853018407422572
"E86100000",-4.07950565972893,0.917842221074784
"E86160000",-4.67074538570635,1.17558475874607
"E71550000",-4.02676558950192,0.740590763790859
"E71498000",-4.00633295569174,0.666173626477059
"E71383000",-4.02853402180144,0.756003035210976
"E71350001",-3.81430710915348,0.727142615047749
"E71300000",-3.70844375507067,0.682235834772818
"E71250000",-3.97580506581557,0.943613183256626
"E71200000",-3.53429616704423,0.649961424143186
"E83675000",-3.46220042298525,0.618049752513954
"E83345000",-4.40381251484755,1.00355730624589
"E83029900",-3.91595568349682,0.945804539740241
"E83660000",-3.99597346186266,0.945241876480563
"E83800002",-3.81010215871483,0.762758197673109
"E83892998",-4.04814641490322,0.647284288772683
"E83900000",-3.90705595602185,0.588494460733412
"E83440000",-4.30003058173784,0.888907067954335
"E83690000",-3.88115953998765,0.790003508604867
"E83250000",-4.10491765828001,0.854815089765965
"E83880000",-2.98672885839293,0.7362383749719
"E83300200",-3.93869908152492,0.846393842059169
"E83892990",-4.19775531810911,0.947426675795045
"E83105000",-4.22824124790306,0.865080554321488
"E83050000",-3.99972464258589,1.29647474107738
"E83677000",-3.77129511243936,0.710637103919063
"E83069900",-7.41924001776139,0.963986689672844
"E83520000",-4.17681236837902,0.856259425874462
"E65180000",-4.26283205639796,0.893374997547858
