"","meanlog","sdlog"
"E72870000",-4.1031604316367,1.01195340330436
"E72849000",-4.17044963043265,1.02076659797609
"E72810000",-4.16980990799373,0.981274991497682
"E72715000",-4.1737423781488,1.11658947455638
"E72680000",-3.71455436063163,0.855908771052293
"E72630000",-3.75702528918591,0.79946728349772
"E72430000",-3.72455015764341,0.842210482529771
"E70500000",-3.69727266706369,0.957087769179942
"E70300000",-4.01800434885956,1.05593854187819
"E70200000",-3.92436119225803,0.91149726819223
"E70100000",-4.05119803130803,0.93177568512473
"E86100000",-3.91184654706278,0.956453870657909
"E86160000",-3.95634999309834,0.987126471412453
"E71550000",-3.96636889536949,0.890361718724334
"E71498000",-3.90202247931405,0.755266506033643
"E71383000",-4.03319674521661,0.900424881621421
"E71350001",-3.87081832405414,0.872231443065334
"E71300000",-3.85570935877798,0.795323002397802
"E71250000",-4.13243510217854,0.937359472064871
"E71200000",-3.75621850792612,0.783529077388995
"E83675000",-3.84505891787919,0.651852333132847
"E83345000",-4.56749886956766,1.02724289864423
"E83029900",-4.28530654267451,0.913233150859404
"E83660000",-4.4155811513,0.975208876674412
"E83800002",-4.05211400910457,0.777369312604319
"E83892998",-4.32018358214625,0.674548974467284
"E83900000",-4.0912658327444,0.616447768643214
"E83440000",-4.39422956513916,0.902040567144817
"E83690000",-4.09800737989405,0.789953245434954
"E83250000",-4.23159908761717,0.886682289035008
"E83880000",-3.37641608129813,0.772757148344179
"E83300200",-4.10890049547004,0.802258560726813
"E83892990",-4.37469526071179,1.02306895370076
"E83105000",-4.45757238603358,0.858347550569723
"E83050000",-4.25997597104184,1.07952379019012
"E83677000",-4.17114627614592,0.7149307150851
"E83069900",-7.61656507069958,0.873060737417536
"E83520000",-4.34420129442549,0.835990414040056
"E65180000",-4.29958312898807,1.01790955190226
