ID,Estação,Estaçã_1,Latitude,Longitude,Altitude (,Área de d,Última at,Operando
63,65094500,AVENCAL,-26.266666669999999,-49.621111110000001,788.000000000000000,960.000000000000000,4/6/2009,Sim
94,65135000,RIO DA VÁRZEA DOS LIMA,-25.934444440000000,-49.393055560000001,810.000000000000000,605.000000000000000,30/11/2010,Sim
96,65095000,RIO PRETO DO SUL,-26.215555559999999,-49.603611110000003,780.000000000000000,2610.000000000000000,4/2/2014,Sim
98,65180000,SALTO CANOINHAS,-26.372499999999999,-50.283055560000001,793.000000000000000,772.000000000000000,4/6/2009,Sim
99,65925000,SALTO CLAUDELINO,-26.278055559999999,-52.295555559999997,1026.000000000000000,1660.000000000000000,12/11/2012,Sim
103,70500000,COXILHA RICA,-28.161388890000001,-50.442777780000000,930.000000000000000,550.000000000000000,16/10/2014,Sim
104,70100000,DESPRAIADO,-28.369444439999999,-49.802500000000002,1080.000000000000000,533.000000000000000,16/10/2014,Sim
105,70300000,FAZENDA MINEIRA,-28.090000000000000,-50.061111109999999,1000.000000000000000,1170.000000000000000,16/10/2014,Sim
106,70200000,INVERNADA VELHA,-28.439444439999999,-50.301944440000000,850.000000000000000,2820.000000000000000,16/10/2014,Sim
107,71350001,ENCRUZILHADA II,-27.507777780000001,-50.112777780000002,800.000000000000000,3230.000000000000000,19/11/2014,Sim
108,71550000,PASSO CARU,-27.537777779999999,-50.852222220000002,720.000000000000000,10000.000000000000000,31/5/2013,Sim
109,71498000,PASSO MAROMBAS,-27.333888890000001,-50.753888889999999,829.000000000000000,3680.000000000000000,16/10/2014,Sim
110,71383000,PONTE ALTA DO SUL,-27.485833329999998,-50.391666669999999,880.000000000000000,4610.000000000000000,16/10/2014,Sim
111,71250000,PONTE DO RIO JOÃO PAULO,-27.829722220000001,-49.626944440000003,900.000000000000000,489.000000000000000,16/10/2014,Sim
112,71300000,RIO BONITO,-27.702222219999999,-49.840000000000003,900.000000000000000,2000.000000000000000,16/10/2014,Sim
113,71200000,VILA CANOAS,-27.803888890000000,-49.779166670000002,900.000000000000000,1010.000000000000000,16/10/2014,Sim
114,72870000,BARRA DO RIO PARDO,-27.315555560000000,-51.526666669999997,560.000000000000000,420.000000000000000,16/5/2014,Sim
115,72849000,JOAÇABA I,-27.159444440000001,-51.481111110000001,600.000000000000000,3710.000000000000000,16/5/2014,Sim
116,72680000,PASSO COLOMBELLI,-27.561944440000001,-51.857777779999999,400.000000000000000,3660.000000000000000,16/10/2014,Sim
117,72430000,PASSO DO GRANZOTTO,-27.878611110000001,-51.754722219999998,600.000000000000000,1620.000000000000000,16/10/2014,Sim
118,72630000,PASSO SANTA TEREZA,-27.706666670000001,-51.885277780000003,400.000000000000000,2800.000000000000000,16/10/2014,Sim
119,72715000,RIO DAS ANTAS,-26.895833329999999,-51.075555559999998,840.000000000000000,801.000000000000000,19/11/2014,Sim
120,72810000,TANGARÁ,-27.088055560000001,-51.258055560000003,630.000000000000000,2010.000000000000000,16/5/2014,Sim
121,73600000,ABELARDO LUZ,-26.560277780000000,-52.326388889999997,760.000000000000000,1840.000000000000000,16/5/2014,Sim
122,73350000,BARCA IRANI,-27.165555560000001,-52.522777779999998,280.000000000000000,1500.000000000000000,16/5/2014,Sim
123,73960000,BARRA DO CHAPECÓ AUX.,-27.039999999999999,-52.954444440000003,240.000000000000000,8240.000000000000000,3/7/2014,Sim
124,73300000,BONITO,-26.948611110000002,-52.182499999999997,600.000000000000000,654.000000000000000,16/5/2014,Sim
125,73690001,CORONEL PASSOS MAIA,-26.772500000000001,-52.024999999999999,800.000000000000000,740.000000000000000,16/5/2014,Sim
126,73780000,JARDINÓPOLIS,-26.736944439999998,-52.901388890000000,360.000000000000000,642.000000000000000,3/7/2014,Sim
127,73330000,PASSO ALTO IRANI,-26.969444440000000,-52.366944439999997,480.000000000000000,933.000000000000000,16/5/2014,Sim
128,73820000,PASSO PIO X,-26.859444440000001,-52.904722219999996,320.000000000000000,1010.000000000000000,3/7/2014,Sim
129,73765000,PASSO QUILOMBO,-26.760000000000002,-52.750277779999998,400.000000000000000,266.000000000000000,3/7/2014,Sim
130,73770000,PORTO FAE NOVO,-26.818055560000001,-52.734722220000002,360.000000000000000,5550.000000000000000,16/5/2014,Sim
131,73900000,SAUDADES,-26.925555559999999,-53.007500000000000,280.000000000000000,418.000000000000000,3/7/2014,Sim
136,74100000,IRAÍ,-27.173611110000000,-53.229166669999998,200.500000000000000,61900.000000000000000,3/7/2014,Sim
139,74295000,LINHA JATAI,-27.013333329999998,-53.295277779999999,240.000000000000000,300.000000000000000,3/7/2014,Sim
141,74370000,PALMITINHO,-27.332777780000001,-53.641388890000002,240.000000000000000,2020.000000000000000,16/10/2014,Sim
145,74320000,PONTE DO SARGENTO,-26.682222220000000,-53.286111110000000,320.000000000000000,609.000000000000000,3/7/2014,Sim
148,74470000,TRÊS PASSOS,-27.392222220000001,-53.880833330000002,240.000000000000000,1540.000000000000000,16/10/2014,Sim
195,82320000,CORUPÁ,-26.423888890000001,-49.292499999999997,200.000000000000000,182.000000000000000,29/9/2014,Sim
198,82350000,JARAGUÁ DO SUL,-26.480000000000000,-49.080833329999997,37.000000000000000,794.000000000000000,29/9/2014,Sim
201,82270050,PIRABEIRABA,-26.180000000000000,-48.939444440000003,,374.000000000000000,29/9/2014,Sim
202,82770000,PONTE SC-301,-26.448055560000000,-48.831111110000002,8.000000000000000,392.000000000000000,29/9/2014,Sim
