"","meanlog","sdlog"
"E72870000",-4.01703317197502,1.07876381851955
"E72849000",-3.97932757921121,1.0839147734286
"E72810000",-3.95159472767084,1.01783698118037
"E72715000",-3.99265999655984,1.12536119203074
"E72680000",-3.6738133990529,0.890157700402249
"E72630000",-3.71946092604478,0.821033402751556
"E72430000",-3.71446883177309,0.857597970568831
"E70500000",-3.67422478890046,1.01981737743379
"E70300000",-3.9554591521291,1.07448832317587
"E70200000",-3.87213087830282,0.958812179138736
"E70100000",-3.85621105208062,0.992109893934363
"E86100000",-3.82866306968192,0.995161870298768
"E86160000",-4.06961117228505,1.06676836680731
"E71550000",-3.70123645878005,0.892848769300587
"E71498000",-3.71688900665979,0.783292710222583
"E71383000",-3.74819827494485,0.896545614508712
"E71350001",-3.60415948783815,0.832917668130246
"E71300000",-3.58738908447891,0.785656778549881
"E71250000",-3.88515928554594,0.919216972357842
"E71200000",-3.49906012281159,0.761010995609192
"E83675000",-3.60105181214572,0.652824427090329
"E83345000",-4.29380679089938,1.05448271609201
"E83029900",-3.94418247884165,1.01721845830107
"E83660000",-3.97122701115154,0.894144122751126
"E83800002",-3.78303196955726,0.758029079809926
"E83892998",-4.0994209806971,0.695318440544223
"E83900000",-3.94589207121498,0.635561912720158
"E83440000",-4.14573467543215,0.920639441237698
"E83690000",-3.83154492320515,0.812166642522613
"E83250000",-3.96328570539537,0.853746975243978
"E83880000",-3.10061816870826,0.641102409692835
"E83300200",-3.84962020950789,0.818293680266772
"E83892990",-4.08282412855842,0.996563176805449
"E83105000",-4.14391128028687,0.923342522236731
"E83050000",-3.86938132683705,1.14638579953344
"E83677000",-3.87352287317238,0.728160146405423
"E83069900",-7.28769600981422,1.04139553636433
"E83520000",-4.08260569324793,0.860491787541753
"E65180000",-4.0123327518432,0.976999498470868
