Data;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31
01/11/2006;77,8;99,75;90,75;93;106,5;124,5;142,5;142,5;142,5;147;133,5;115,5;115,5;95,25;66,95;63,85;65,4;84;237,45;508;525,5;474,1;438,7;410,2;377,8;367;388,6;435,75;418,3;361,9;
01/12/2006;301,6;239,8;235,1;228,05;209,25;311,2;336,4;328,75;265,65;246,85;232,75;188,1;171,75;160,5;160,5;160,5;156;129;126,75;225,7;333,85;341,5;326,2;388,6;426,9;518,5;456,4;356,8;299,2;246,85;202,2
01/01/2007;183;172;158;167;186;186;198;186;176;167;161;161;198;190;172;176;167;143;125;122;120;145;138;134;120;116;102;95,3;136;181;172
01/02/2007;145;136;122;99,8;93;99,8;116;116;111;102;97,5;93;93;93;88,5;84;84;84;76,3;90,8;120;202;285;316;554;696;484;402;;;
01/03/2007;367;349;362;391;347;336;359;364;342;321;336;316;324;344;336;326;357;410;362;342;314;304;297;287;268;240;249;245;221;221;209
01/04/2007;186;172;158;156;165;165;161;154;145;131;127;122;125;127;138;170;152;127;107;97,5;90,8;84;77,8;76,3;104;145;344;311;268;174;
01/05/2007;158;167;118;109;102;97,5;109;152;240;242;228;219;209;235;261;311;451;918;918;723;763;1083;1168;898;728;614;529;474;427;378;334
01/06/2007;282;285;285;261;237;223;214;212;219;207;193;167;156;149;140;134;129;125;125;122;118;116;111;102;93;93;86,3;93;90,8;93;
01/07/2007;90,8;93;93;80,9;77,8;76,3;68,5;65,4;163;554;451;416;439;484;442;399;311;445;468;408;372;456;943;793;718;655;566;498;456;427;405
01/08/2007;378;347;347;344;344;334;316;309;282;247;216;198;186;176;161;134;129;125;120;116;111;111;102;99,8;93;93;86,3;93;90,8;93;93
01/09/2007;582;508;427;383;326;263;221;183;165;152;143;129;125;116;111;102;107;116;129;143;193;311;590;663;663;558;522;574;543;462;
01/10/2007;424;383;352;331;268;247;216;212;205;193;205;249;362;413;391;873;1398;993;883;733;688;622;547;487;427;357;331;302;359;566;672
01/11/2007;713;1093;1505;1237;1063;833;705;598;536;529;451;389;347;326;543;462;367;352;336;297;278;235;216;198;183;170;165;165;165;156;
01/12/2007;152;134;120;111;138;297;336;302;282;249;188;179;198;202;183;165;143;125;120;147;138;129;125;116;125;138;152;193;198;202;249
01/01/2008;244,5;246,85;260,95;296,8;306,4;321,1;364,45;354,25;328,75;289,6;251,55;211,6;181,05;165;174;169,5;171,75;171,75;216,3;299,2;289,6;249,2;228,05;206,9;188,1;178,7;156;147;135,75;147;165
01/02/2008;316;394;415,6;399,4;388,6;361,9;311,2;263,3;204,55;156;138;183,4;176,35;174;183,4;209,25;202,2;197,5;183,4;183,4;176,35;174;165;160,5;160,5;151,5;138;133,5;115,5;;
01/03/2008;138;156;216,3;292;287,2;272,8;258,6;239,8;239,8;225,7;151,5;133,5;142,5;156;138;129;165;142,5;115,5;102;142,5;174;211,6;235,1;211,6;192,8;188,1;174;169,5;129;142,5
01/04/2008;129;120;111;104,25;108,75;106,5;106,5;99,75;88,5;74,7;65,4;71,6;97,5;230,4;221;230,4;216,3;202,2;197,5;230,4;253,9;263,3;249,2;239,8;246,85;216,3;169,5;174;311,2;361,9;
01/05/2008;346,6;372,4;383,2;388,6;480;477,05;456,4;410,2;367;359,35;346,6;316;311,2;306,4;277,6;213,95;171,75;149,25;138;126,75;117,75;111;108,75;104,25;99,75;90,75;84;84;90,75;99,75;93
01/06/2008;93;93;126,75;246,85;277,6;221;221;202,2;147;138;142,5;153,75;192,8;209,25;232,75;235,1;216,3;188,1;158,25;169,5;167,25;158,25;147;131,25;115,5;99,75;235,1;394;504,5;477,05;
01/07/2008;462,3;438,7;391,3;344,05;323,65;287,2;221;195,15;185,75;176,35;176,35;169,5;158,25;142,5;142,5;140,25;131,25;124,5;120;113,25;106,5;99,75;102;97,5;113,25;122,25;108,75;99,75;93;84;80,9
01/08/2008;84;104,25;135,75;185,75;178,7;183,4;169,5;171,75;174;195,15;195,15;183,4;183,4;188,1;192,8;197,5;213,95;199,85;192,8;176,35;142,5;138;138;117,75;131,25;122,25;115,5;111;108,75;102;93
01/09/2008;82,45;77,8;73,15;71,6;71,6;115,5;237,45;299,2;292;292;316;525,5;1033;898;738;543;465,25;407,5;351,7;296,8;263,3;251,55;232,75;218,65;197,5;181,05;169,5;156;151,5;142,5;
01/10/2008;206,9;301,6;341,5;356,8;983;923;708,85;562;468,2;394;326,2;328,75;272,8;282,4;270,4;344,05;723;1333;1279;1058;928;833;753;923;1113;1143;1869,4;1053;1053;1654,8;1378,5
01/11/2008;1188;1385;1411;1193;1068;978;943;873;783;667,35;638,3;773;1183;1093;983;848;704,7;638,3;590;543;511,5;483,5;453,45;438,7;415,6;444,6;444,6;438,7;421;421;
01/12/2008;396,7;383,2;372,4;316;287,2;239,8;206,9;188,1;174;174;221;235,1;216,3;197,5;188,1;181,05;171,75;158,25;153,75;149,25;140,25;122,25;120;117,75;199,85;209,25;188,1;171,75;149,25;135,75;111
01/01/2009;102;102;133,5;242,15;242,15;237,45;256,25;246,85;230,4;188,1;211,6;287,2;277,6;239,8;218,65;199,85;209,25;230,4;280;287,2;277,6;265,65;235,1;216,3;195,15;162,75;142,5;126,75;124,5;135,75;126,75
01/02/2009;120;111;106,5;106,5;106,5;106,5;102;93;84;93;129;160,5;156;124,5;115,5;97,5;88,5;88,5;111;156;216,3;239,8;225,7;249,2;239,8;244,5;239,8;230,4;;;
01/03/2009;221;211,6;221;225,7;188,1;174;171,75;158,25;144,75;151,5;178,7;244,5;258,6;263,3;249,2;216,3;192,8;151,5;124,5;115,5;104,25;99,75;93;90,75;84;82,45;93;86,25;84;84;84
01/04/2009;77,8;74,7;71,6;71,6;71,6;66,95;62,3;59,2;59,2;59,2;54,55;53;51;49;49;47;45;45;45;45;43;45;44;41;41;51;68,5;74,7;62,3;52;
01/05/2009;49;45;42;40;36;33;35;33;33;32,45;30,8;31,35;38;50;74,7;93;88,5;82,45;74,7;65,4;57,65;53;51;48;45;41;41;45;45;59,2;95,25
01/06/2009;120;117,75;111;124,5;122,25;113,25;99,75;88,5;65,4;48;46;48;46;46;47;51;70,05;86,25;90,75;84;77,8;76,25;68,5;53;53;57,65;60,75;63,85;62,3;68,5;
01/07/2009;76,25;102;95,25;86,25;80,9;76,25;73,15;138;399,4;441,65;550;667,35;590;494;429,85;501;1073;993;733;630;546,5;494;529;474,1;415,6;377,8;364,45;308,8;228,05;206,9;213,95
01/08/2009;435,75;1203;1225;943;748;646,6;606;606;574;558;518,5;435,75;394;388,6;385,9;377,8;367;426,9;614;634,15;550;490,5;459,35;399,4;361,9;351,7;296,8;263,3;235,1;218,65;188,1
01/09/2009;174;174;192,8;206,9;244,5;225,7;232,75;394;650,75;833;723;933;1219;1093;903;768;663,2;634,15;667,35;634,15;562;504,5;508;543;501;468,2;622;1839,8;1966,2;1561;
01/11/2009;183,4;176,35;158,25;138;129;133,5;129;151,5;211,6;216,3;249,2;287,2;277,6;292;268;272,8;251,55;237,45;228,05;239,8;306,4;356,8;407,5;367;323,65;468,2;426,9;432,8;361,9;341,5;
01/12/2009;275,2;253,9;432,8;421;346,6;306,4;246,85;216,3;197,5;183,4;176,35;169,5;183,4;178,7;188,1;174;178,7;195,15;188,1;165;122,25;111;142,5;138;156;265,65;239,8;228,05;197,5;199,85;211,6
01/01/2010;211,6;197,5;158,25;153,75;197,5;225,7;228,05;216,3;202,2;188,1;244,5;277,6;344,05;415,6;399,4;383,2;456,4;622;590;550;543;522;630;562;546,5;518,5;497,5;480;447,55;474,1;421
01/02/2010;410,2;415,6;377,8;331,3;294,4;270,4;232,75;218,65;311,2;306,4;336,4;432,8;474,1;462,3;426,9;468,2;558;543;474,1;456,4;450,5;441,65;474,1;474,1;456,4;421;396,7;380,5;;;
01/03/2010;333,85;280;211,6;181,05;165;162,75;156;167,25;185,75;176,35;165;158,25;147;171,75;167,25;160,5;158,25;149,25;131,25;124,5;120;120;115,5;239,8;529;550;487;426,9;394;465,25;462,3
01/04/2010;421;383,2;356,8;318,55;292;272,8;258,6;258,6;249,2;244,5;223,35;206,9;192,8;178,7;151,5;144,75;138;126,75;120;108,75;115,5;230,4;1391,5;1669,6;1198;1915,8;2587,8;2050,2;1533;1261;
01/05/2010;1033;878;753;679,8;590;508;918;1163;1385;1183;808;843;863;793;704,7;654,9;696,4;938;1063;1008;983;933;788;758;704,7;671,5;598;546,5;536;522;515
01/06/2010;508;490,5;471,15;404,8;407,5;399,4;344,05;336,4;333,85;321,1;292;216,3;192,8;185,75;188,1;185,75;188,1;185,75;202,2;221;230,4;277,6;306,4;336,4;304;235,1;218,65;185,75;174;167,25;
01/07/2010;162,75;153,75;153,75;135,75;131,25;122,25;120;113,25;108,75;138;133,5;156;169,5;140,25;174;181,05;174;178,7;192,8;253,9;268;407,5;630;622;536;494;444,6;410,2;388,6;367;351,7
01/08/2010;474,1;468,2;402,1;415,6;529;543;471,15;410,2;421;383,2;361,9;313,6;296,8;296,8;284,8;246,85;230,4;209,25;190,45;176,35;169,5;165;162,75;149,25;140,25;124,5;111;111;111;111;106,5
01/09/2010;106,5;106,5;102;99,75;95,25;93;86,25;80,9;77,8;77,8;77,8;77,8;84;84;80,9;79,35;80,9;84;79,35;76,25;90,75;174;277,6;321,1;308,8;294,4;280;251,55;192,8;174;
01/10/2010;188,1;202,2;206,9;188,1;174;169,5;169,5;249,2;272,8;246,85;244,5;225,7;202,2;174;178,7;211,6;246,85;277,6;244,5;211,6;185,75;176,35;174;169,5;151,5;140,25;129;122,25;120;171,75;277,6
01/11/2010;235,1;202,2;174;156;138;133,5;135,75;135,75;117,75;106,5;106,5;106,5;93;90,75;84;120;216,3;235,1;235,1;213,95;185,75;169,5;304;299,2;313,6;287,2;258,6;232,75;221;239,8;
01/12/2010;244,5;287,2;426,9;504,5;671,5;683,95;646,6;743;675,65;462,3;426,9;562;733;733;618;480;480;404,8;364,45;346,6;336,4;333,85;344,05;383,2;375,1;415,6;383,2;333,85;284,8;232,75;213,95
01/01/2011;178,7;156;162,75;167,25;165;178,7;249,2;277,6;296,8;287,2;272,8;258,6;258,6;246,85;232,75;216,3;192,8;225,7;280;318,55;394;536;883;903;853;768;723;704,7;566;590;783
01/02/2011;793;738;679,8;630;598;574;622;763;863;888;843;858;983;968;923;883;793;650,75;602;606;550;558;606;679,8;793;923;933;838;;;
