Data;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31
01/06/1944;;;;;;;;;;;;;;;;;;;;;;;;;6,5236;5,8044;5,5728;5,3454;5,1221;5,1221;
01/07/1944;5,3454;5,5728;5,3454;5,1221;8,897;11,7181;8,3421;6,5236;6,0401;6,2798;5,8044;5,8044;5,3454;5,3454;5,3454;5,1221;4,9029;4,9029;4,6879;4,6879;4,4771;4,4771;4,4771;4,4771;4,4771;4,4771;4,6879;4,6879;4,4771;4,4771;4,4771
01/08/1944;4,4771;6,0401;5,5728;5,1221;4,4771;4,4771;4,4771;4,9029;4,6879;4,4771;4,2706;4,4771;4,2706;4,2706;4,0683;4,4771;4,2706;4,2706;4,0683;4,0683;4,2706;5,1221;6,7715;4,0683;4,0683;4,0683;4,0683;3,8703;12,1999;12,6838;16,1271
01/09/1944;11,2386;7,8027;6,2798;5,5728;5,3454;7,0233;9,4675;14,3937;10,0533;7,0233;6,0401;5,3454;5,3454;5,1221;4,6879;4,2706;4,2706;4,4771;4,4771;4,9029;4,9029;4,4771;4,2706;4,2706;4,6879;5,1221;4,9029;4,4771;4,0683;4,2706;
01/10/1944;4,0683;4,0683;3,8703;4,0683;3,8703;4,0683;4,0683;4,0683;4,0683;4,0683;4,0683;4,0683;6,0401;8,6176;8,3421;5,3454;4,6879;4,0683;4,0683;3,6767;3,6767;3,6767;3,3024;3,3024;3,3024;5,3454;7,2791;5,3454;6,2798;5,3454;4,2706
01/11/1944;3,8703;4,0683;6,2798;6,7715;5,1221;7,0233;13,6579;31,1896;17,8819;11,478;6,5236;6,2798;7,2791;9,7585;12,6838;8,897;6,5236;5,3454;5,1221;4,9029;4,2706;4,0683;4,0683;5,3454;13,9027;14,148;8,897;7,5389;6,2798;5,3454;
01/12/1944;5,1221;4,9029;4,6879;4,6879;5,3454;4,4771;4,0683;3,6767;3,6767;3,4873;3,3024;3,3024;3,3024;3,3024;3,3024;3,3024;3,6767;3,6767;4,4771;3,8703;3,1218;3,4873;3,6767;3,8703;3,8703;3,6767;3,8703;3,6767;3,6767;4,0683;3,4873
01/01/1945;4,0683;3,4873;3,1218;3,1218;2,9457;3,8703;3,3024;2,9457;2,774;2,6069;2,6069;2,4443;2,4443;2,2862;2,2862;2,2862;2,2862;2,2862;2,2862;2,2862;2,9457;3,1218;3,1218;2,774;3,6767;3,1218;6,0401;18,1342;7,0233;4,9029;14,3937
01/02/1945;10,6544;5,8044;4,2706;3,6767;3,3024;4,0683;3,3024;3,4873;6,7715;5,5728;4,6879;4,9029;4,0683;3,3024;3,1218;9,1803;18,6401;23,7798;25,0859;32,2659;16,3765;8,6176;12,9265;20,6789;10,6544;33,3464;36,6112;26,6635;;;
01/03/1945;16,3765;16,1271;23;14,148;10,9997;9,7585;8,6176;8,6176;8,0704;7,8027;6,7715;7,2791;6,2798;6,0401;14,3937;7,0233;6,5236;5,5728;5,5728;5,8044;6,5236;5,3454;5,1221;5,1221;6,7715;6,7715;5,5728;5,1221;4,6879;4,2706;4,6879
