Data;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31
01/01/2002;5,75;3,915;3,235;;3,49;11,725;7,125;3,745;;30,7;41;22,4;21,2;59,8;115,4;29,05;22,2;18;13,975;10,625;8,75;13,075;15,55;11,95;101,25;23,8;20,8;26,25;19,2;12,4;11
01/02/2002;9,875;6,875;5,5;4,75;4,125;3,745;5,625;4,125;;;4,25;3,66;4,25;3,575;6,125;10;12,85;9,125;6,375;5;4,25;3,49;;;;;;;;;
01/03/2002;;;;;;;;;;;;;2,3;2,3;2,385;2,555;2,64;2,555;2,385;2,3;;;;2,47;2,895;3,49;2,81;2,47;2,64;2,3;2,98
01/04/2002;5;2,64;2,47;2,3;2,3;2,3;;;;;5,625;4,75;9,25;7,375;4,25;3,15;2,81;3,065;4;11,25;8,625;6,125;4,375;3,575;3,235;8,625;10;4,5;7,75;19,8;
01/05/2002;10,375;6,75;5;3,83;2,725;8,25;19,4;20;12,4;10,25;6,625;3,745;2,64;2,15;11,5;40,65;13,525;9,25;7,625;16,8;33,175;19,6;16;11,95;9,75;8;6,375;5,5;4,25;6,375;16
01/06/2002;11,725;8,375;20,4;22,4;15,325;16,4;53,05;41,8;152,55;64,8;73,425;217,7;184,7;147,95;85,375;44,2;24,675;19,6;17,2;15,325;13,075;11,125;9,75;9;9,375;7;5,875;5,5;6,875;7,875;
01/07/2002;8,375;124,2;20,4;14,425;10,875;10;10,125;10,625;7,75;6,25;5,75;5,5;5,125;5;4,75;4,5;4,25;4;3,915;3,745;3,49;3,32;3,235;3,065;2,98;31,25;26,925;18;14,875;12,625;14,2
01/08/2002;13,3;17;110,025;26,25;17,2;14,65;11,25;9,75;17,4;13,075;10,125;8,75;9,625;8,25;7,875;7,125;5,875;4,75;4,875;6;7,5;19,4;25,35;25,575;21,4;18;16,6;14,65;13,75;11,725;10,875
01/09/2002;10;9;8,125;7,625;6,75;5,875;4,625;3,66;4,125;8,25;10,875;10,125;10,375;10,5;9,625;8,875;8,125;7,375;6,5;16,8;13,075;7,875;4,5;3,915;3,575;3,32;3,15;8,75;13,3;10,25;
01/10/2002;7,25;4,75;5,375;10,375;11,95;17,2;14,875;12,4;26,025;101,25;30,15;25,8;21,6;17;16,8;20,6;27,6;17,6;11,95;9,375;15,325;16;16;73,425;60,475;36,8;26,25;18,6;14,425;22,4;54,4
01/11/2002;120,9;59,125;24,675;24,675;21,8;18,2;17,6;14,425;11;58,45;24,9;19,6;15,775;12,4;10;9,625;11,5;15,1;11,25;10,75;10,25;8,375;7,875;5,75;6;5,25;49,675;26,025;156;67,1;
01/12/2002;36,8;23,8;19,2;18,8;45,8;40,3;28,5;33,175;25,35;21,2;19,2;16,8;15,55;39,95;26,925;20;16,6;11,95;9,875;14,875;13,525;16,2;12,4;17,6;16,8;15,325;13,3;11,25;10,25;14,425;31,525
01/01/2003;27,6;17,6;20,2;19,4;23,4;14,425;13,3;11;9,75;8,25;7,5;5,75;5,875;5,375;4,875;4,125;8;9,375;8,875;8,375;7,5;6,625;6,125;5,25;3,83;;;;;;
01/02/2003;;;15,325;8,875;6,625;9,75;10,125;19,2;21,4;29,05;25,125;16,2;21,4;27,6;23,6;17,6;11,725;9,875;10,5;412;43,4;28,5;19,6;16,2;23;17,4;13,75;10,625;;;
01/03/2003;8,75;7,625;8,5;10;14,65;9,75;7,25;6,625;5,875;5,375;5,625;6,75;4,75;3,83;3,745;3,745;3,405;3,235;2,98;2,98;6;4;5;3,405;8,125;8,25;7,75;6,625;5,625;4,125;3,32
01/04/2003;3,405;3,6175;3,15;10,625;7,9375;5,1875;3,4475;3,3625;3,1925;3,0225;3,3625;3,15;2,98;3,1075;3,2775;3,15;2,98;;;;;;;;;;;;17;18,7;
01/05/2003;15,55;11,5;9,75;8,25;6,625;4,625;3,32;;;;;;;;;;;;;;;;;;;;;;;;
01/06/2003;;;;11,5;10,25;9,875;8;7,125;10,25;6,625;21,6;19,8;22;14,2;10,375;8,5;8,375;19,6;21,4;12,85;10;7,25;5,875;4,75;4,5;4,125;3,66;2,895;2,385;2,15;
