Data;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31
01/01/2006;11;9,48;21,9;18,2;14,3;9,48;8,92;8,92;8,36;8,36;7,8;7,24;6,96;8,08;9,48;7,8;17,4;30,6;20,4;18,2;16;20;53,7;88,6;34,6;25,6;17,4;7,8;13,6;12;10,1
01/02/2006;9,48;8,92;8,36;8,08;34,2;11;12,9;11,4;10,7;11,7;10,1;8,08;8,92;8,36;7,8;9,79;9,2;9,48;8,92;9,48;12;13,3;9,48;8,64;7,8;7,24;6,68;6,68;;;
01/03/2006;6,68;6,19;6,68;7,52;6,68;6,19;5,7;5,21;4,97;4,72;4,72;5,21;6,19;5,7;5,7;5,7;5,21;5,21;4,72;4,72;8,08;6,19;6,96;8,64;6,68;6,68;6,43;6,19;6,68;9,48;8,64
01/04/2006;6,19;5,7;5,7;5,7;5,21;5,21;5,45;5,7;4,23;6,19;5,94;5,7;5,7;5,21;5,21;4,72;4,72;4,72;4,23;4,23;4,23;4,23;4,23;4,23;4,23;4,23;4,23;4,23;4,23;4,23;
01/05/1986;;;;;;;;;;;;;;;;;;;7,546;5,486;5,486;4,49;3,86;3,65;3,44;3,44;3,23;3,23;3,23;3,23;31,52
01/06/1986;15,62;10,119;8,112;6,98;6,482;5,984;5,984;5,735;5,237;4,988;4,739;4,49;4,28;4,28;6,98;9,244;6,482;4,988;4,49;5,486;4,07;4,07;3,86;3,86;4,49;5,486;4,988;4,988;4,49;4,07;
01/07/1986;3,65;3,65;3,44;3,44;3,23;3,23;3,23;3,65;4,07;4,49;4,739;4,28;4,07;3,65;3,23;3,23;3,02;3,23;4,28;4,739;12,9;8,678;5,984;4,988;4,49;4,07;3,65;3,65;3,23;3,02;3,02
01/08/1986;3,23;3,23;3,02;3,02;2,81;2,81;2,81;2,81;2,6;2,39;2,39;2,81;3,44;4,07;4,988;4,988;3,23;3,23;2,6;2,39;2,39;2,81;21,56;11,973;7,263;5,984;5,237;4,49;4,07;3,65;3,44
01/09/1986;3,44;3,44;3,44;3,65;5,735;4,28;3,65;3,02;2,81;2,81;2,81;2,6;2,39;2,39;2,39;2,81;3,65;5,486;6,98;23,9;21,56;15,62;10,428;10,119;14,26;11,046;9,81;6,98;6,98;6,482;
01/10/1986;5,984;5,486;5,237;4,49;4,49;4,49;4,49;4,49;16,67;118;48,54;20,39;18,89;13,92;12,282;11,046;10,119;23,51;16,3;12,9;37,84;23,9;15,96;13,24;13,58;12,282;9,81;9,244;8,678;8,678;9,244
