Data;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31
01/01/2006;10,86102;10,42808;10,42808;15,52782;14,06508;12,65537;10,86102;10,42808;13,11929;14,54684;11,30028;10,00155;9,167985;8,761114;6,464171;4,750389;4,430954;6,829338;13,58921;12,19753;12,19753;19,6772;18,07973;45,97517;48,94758;38,84393;27,14482;23,01604;18,07973;14,54684;9,167985
01/02/2006;11,7;15;12,7;12,2;11,3;10,9;10;15;12,2;10,4;8,76;12,2;13,6;12,2;10,9;10,4;16;19,1;19,1;19,7;24,8;38,8;41,6;30,9;24,2;22,4;27,1;24,8;;;
01/03/2006;32,15759;39,5374;58,26079;67,30145;45,24263;45,24263;49,70115;36,11476;30,87574;35,44375;25,34525;20,7691;17,04216;11,30028;30,24191;48,94758;38,84393;31,51431;39,5374;56,66812;84,91133;62,31174;44,51436;37,47036;32,15759;58,26079;39,5374;42,35529;123,3014;81,27191;62,31174
01/04/2006;48,94758;35,44375;40,93758;31,51431;27,75453;24,1705;21,323;18,07973;15,03444;14,06508;11,30028;15,03444;25,94014;23,01604;20,22049;17,04216;14,06508;13,58921;10,86102;10,42808;10,42808;21,323;15,03444;14,06508;12,19753;11,74581;10,42808;10,42808;10,42808;10,42808;
01/05/2006;10,4;10,4;10;8,76;8,76;8,76;7,97;7,58;7,2;9,58;12,2;11,3;10,4;10,4;10;9,17;8,76;7,97;7,58;7,2;7,2;7,2;6,83;6,46;6,46;6,11;5,76;5,76;5,76;5,41;5,08
01/06/2006;5,08;4,75;4,43;5,76;5,76;5,41;5,08;4,43;4,43;4,43;3,82;3,82;3,82;3,24;3,24;3,24;3,24;4,43;5,08;4,75;4,43;5,76;7,2;7,2;8,76;10,4;12,2;8,76;8,36;7,97;
01/07/2006;7,2;6,83;6,11;5,76;9,58;9,17;7,58;7,2;7,2;6,11;5,76;5,76;5,41;4,75;4,43;4,12;4,75;5,76;5,08;6,46;5,41;4,75;5,41;3,82;2,18;3,52;4,12;3,24;8,36;16;14,5
01/08/2006;13,6;11,7;10,4;7,97;7,2;6,46;5,41;4,43;3,24;4,43;4,12;3,24;3,24;2,69;3,82;46,7;239;89,5;49,7;34,8;28,4;25,3;21,9;20,2;19,1;15;13,1;12,2;11,3;10,4;10,4
01/09/2006;15,5;43,1;53,5;55,9;52;39,5;30,2;27,1;25,3;24,8;21,9;20,2;17;14,5;14,1;14,1;13,6;12,7;12,2;12,2;11,3;10,9;10,4;15,5;37,5;36,1;29,6;25,3;21,9;18,6;
01/10/2006;27,1;52,8;38,8;31,5;26,5;23;18,1;14,1;12,7;12,2;25,9;30,2;21,9;19,1;16,5;14,1;12,7;12,2;10,9;10,4;22,4;25,3;20,8;15;12,7;12,2;36,1;32,8;25,3;17,6;13,6
01/11/2006;41,6;37,5;23,6;19,7;17;13,6;12,2;10,9;10,4;19,7;31,5;24,2;18,6;13,6;11,3;10,9;23,6;17,6;14,5;147;78,6;48,9;36,1;29,6;26,5;52;69,8;66,5;53,5;47,5;
01/12/2006;35,4;28,4;24,2;21,9;19,7;18,1;17,6;20,2;21,3;18,6;20,2;20,2;15,5;21,3;25,3;20,8;17;27,8;23;26,5;31,5;29;25,3;83,1;124;107;92,4;59,9;45,2;34,8;30,2
01/01/2007;24,8;32,2;36,8;33,5;38,2;55,9;35,4;29;27,8;25,3;38,8;48,9;35,4;29;24,8;20,8;18,6;20,8;17;14,5;53,5;36,1;29;23,6;18,1;15,5;13,1;21,3;24,8;28,4;21,9
01/02/2007;17;23,6;17,6;13,6;15,5;11,7;10,4;25,9;40,2;36,1;26,5;17,6;20,8;15;12,7;10,4;10;8,36;20,8;15;23,6;48,2;48,9;67,3;128;78,6;58,3;55,9;;;
01/03/2007;52,8;61,5;57,5;47,5;35,4;28,4;24,2;21,9;21,3;17,6;24,8;30,9;50,5;49,7;38,8;32,2;28,4;48,2;39,5;34,1;30,2;25,9;21,9;19,1;16,5;34,8;68,1;32,2;22,4;19,7;25,9
01/04/2007;19,1;15;32,8;25,9;22,4;28,4;24,2;21,9;18,6;15;16;24,8;34,1;29,6;109;109;68,1;44,5;36,1;30,2;24,2;21,3;17,6;69;177;347;424;181;110;86,8;
01/05/2007;56,7;44,5;36,1;42,4;43,1;36,1;30,2;38,8;59,1;46;37,5;30,9;62,3;48,9;36,1;130;356;474;328;174;325;609;403;235;170;126;105;87,7;75;63,1;52
01/06/2007;61,5;53,5;48,2;44,5;39,5;35,4;34,8;34,1;30,9;28,4;25,3;24,8;23,6;22,4;20,8;19,7;18,1;17;16,5;16;16;15,5;15;15;14,1;14,1;14,1;14,1;14,1;13,1;
01/07/2007;13,1;12,2;12,2;11,3;10,4;10,4;10,4;40,9;207;271;94,3;80,4;59,9;93,3;68,1;55,9;40,2;53,5;59,9;46;36,1;48,2;211;160;122;102;80,5;65,1;52;46,7;41,6
01/08/2007;42,4;38,8;33,5;30,2;27,1;24,2;22,4;21,9;19,7;18,1;15;14,1;14,1;12,7;12,2;12,2;11,7;10,7;10,5;12,1;10,5;9,8;10,5;7,6;8,1;8,8;14,1;10,5;10,9;10,5;51,4
01/09/2007;274;122;70,5;49,2;36,9;24,8;23;22,4;20,8;17;14,5;14,1;14,1;14,1;12,7;12,2;12,2;12,2;12,2;10,9;10,4;22,4;88,6;78,6;59,1;42,4;36,1;31,5;28,4;25,3;
01/10/2007;24,4;21,5;19,7;19,7;18,1;18,1;18,1;23;20,8;18,1;15;20,2;94,3;168;152;335;381;258;175;123;93,3;73,3;55,1;48,2;43,1;36,1;32,2;26,5;35,4;46;199
01/11/2007;237;325;509;220;118;76,8;68,1;52;33,5;84;103;64,8;55,9;69;262;387;174;94,3;68,1;59,1;51,2;39,5;52,8;44,5;38,2;32,8;28,4;35,4;32,8;25,9;
01/12/2007;24,2;21,9;18,6;17;14,1;55,9;101;63,1;59,1;59,1;57,5;52,8;47,5;46;44,5;37,5;33,5;28,4;24,8;23;19,7;27,8;87,7;73,3;68,1;59,9;52;46;54,3;95,2;93,3
01/01/2008;70,7045;58,2608;51,2207;46,712;40,9376;36,7903;32,8056;28,3691;24,7554;21,323;19,6772;30,8757;30,8757;24,1705;21,323;18,6068;16,5317;14,0651;34,1154;97,1316;80,3711;60,6796;38,1549;25,9401;21,8821;20,2205;18,6068;16,5317;15,0344;14,0651;14,0651
01/02/2008;29,6129;39,5374;32,8056;24,7554;19,1393;15,5278;14,0651;13,5892;12,1975;18,0797;21,323;17,5582;15,5278;14,0651;20,2205;24,1705;21,323;17,0422;23,016;20,7691;17,0422;23,5907;19,1393;15,5278;14,0651;14,0651;12,6554;12,1975;12,1975;;
01/03/2008;17,0422;19,1393;16,5317;14,5468;14,0651;12,6554;12,1975;11,3003;10,4281;10,4281;10,4281;9,5815;9,168;8,7611;8,7611;17,0422;20,7691;17,0422;14,5468;13,5892;12,1975;12,1975;20,7691;25,9401;19,1393;15,0344;10,4281;7,9676;14,0651;14,0651;9,5815
01/04/2008;9,5815;8,7611;8,7611;8,7611;29,6129;33,4582;28,3691;46,712;40,9376;36,7903;33,4582;38,8439;35,4437;60,6796;66,4602;46,712;40,9376;48,9476;55,8778;48,1982;58,2608;57,4625;43,7904;33,4582;28,3691;23,5907;20,7691;18,6068;34,7773;51,9867;
01/05/2008;66,4602;101,0099;82,1764;75,0429;61,4937;54,3092;47,453;36,1148;32,8056;30,2419;27,7545;24,7554;24,1705;20,7691;19,1393;18,0797;16,5317;16,0269;15,0344;15,0344;14,5468;13,5892;12,1975;12,1975;11,7458;41,6443;45,2426;36,7903;28,9886;21,323;18,0797
01/06/2008;15,5278;91,4177;87,6785;66,4602;58,2608;40,9376;32,8056;28,3691;25,3452;23,5907;21,8821;18,6068;17,5582;15,0344;14,0651;14,0651;38,8439;81,2719;55,8778;40,2353;36,1148;30,8757;25,9401;24,1705;22,4465;28,3691;59,0631;102,9696;131,7993;106,9295;
01/07/2008;79,4739;61,4937;47,453;40,9376;34,7773;30,2419;27,7545;25,3452;23,5907;23,016;21,8821;20,2205;19,1393;18,0797;16,5317;14,5468;14,0651;12,1975;17,5582;15,5278;14,5468;14,0651;13,5892;12,1975;12,1975;10,861;10,4281;10,4281;21,323;32,8056;30,2419
01/08/2008;28,9886;27,1448;24,1705;22,4465;20,7691;18,6068;18,0797;15,5278;14,0651;19,6772;24,7554;23,5907;21,8821;30,2419;101,988;110,9433;45,2426;30,8757;24,7554;22,4465;20,7691;20,2205;18,6068;21,323;25,3452;23,016;17,5582;14,5468;13,5892;12,1975;12,1975
01/09/2008;11,7458;10,861;10,4281;10,4281;10,4281;28,3691;38,8439;43,7904;48,1982;49,7011;41,6443;101,988;442,3474;193,0623;111,955;89,5411;68,9954;55,8778;51,2207;48,1982;45,2426;44,5144;43,0707;39,5374;35,4437;31,5143;28,3691;25,3452;23,016;21,8821;
01/10/2008;20,2205;18,0797;24,7554;104,9428;301,9688;156,2037;108,9297;69,848;57,4625;50,4589;45,2426;39,5374;37,4704;36,7903;35,4437;49,7011;48,1982;224,791;188,149;123,3014;102,9696;78,5804;77,6905;172,5001;122,2536;101,0099;180,8654;129,6557;233,9843;558,8877;232,6628
01/11/2008;139,4014;256,8593;313,6536;178,4608;153,9236;124,3524;110,9433;93,3084;80,3711;73,2963;77,6905;369,7455;404,6524;201,77;147,1565;109,9348;91,4177;79,4739;65,6228;66,4602;68,1465;62,3117;55,0915;47,453;41,6443;36,7903;33,4582;30,2419;27,7545;26,54;
01/12/2008;25,9401;25,9401;25,9401;24,7554;24,7554;22,4465;20,7691;18,6068;18,0797;18,0797;17,5582;16,5317;16,0269;15,0344;14,0651;14,0651;14,0651;13,5892;13,1193;12,1975;12,1975;36,7903;34,7773;34,1154;30,8757;29,6129;27,7545;24,1705;22,4465;20,7691;44,5144
01/01/2009;36,1148;28,3691;26,54;24,1705;34,1154;37,4704;28,9886;24,7554;28,9886;68,9954;66,4602;82,1764;50,4589;36,7903;34,1154;32,1576;33,4582;59,8694;45,9752;40,2353;36,7903;33,4582;30,2419;27,7545;23,016;20,2205;33,4582;28,9886;24,1705;20,7691;17,5582
