Data;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31
01/12/2005;17,335;15,615;15,4;15,4;16,26;15,83;14,035;14,035;14,035;13,84;13,645;10,9855;12,085;11,5;11,157;11,5;14,035;13,45;13,645;13,06;9,9565;9,785;10,128;10,2995;9,785;10,814;13,06;10,2995;9,6135;10,128;9,785
01/01/2006;10,471;10,471;9,9565;10,9855;11,157;13,255;11,3285;10,128;11,5;10,6425;10,6425;9,2705;7,488;7,6335;6,7605;7,779;8,07;7,779;7,6335;7,197;6,7605;6,906;7,779;8,756;10,6425;9,441999;8,413;8,413;9,2705;9,785;9,9565
01/03/2006;16,475;15,01;13,06;12,865;11,5;10,814;10,2995;10,128;10,814;10,471;9,9565;9,099;9,099;7,779;7,0515;7,779;7,197;7,0515;9,441999;10,2995;11,5;12,085;11,695;13,645;13,255;17,335;14,035;12,865;27,1;19,7;17,12
01/01/2007;17,55;19,7;23,3;26,06;25,02;25,54;21,14;18,41;16,905;16,045;15,83;15,205;14,815;15,615;15,01;15,615;14,62;15,205;16,26;18,41;18,84;16,69;16,475;13,06;16,69;22,58;40,1;29,7;28,66;23,54;20,9
01/02/2007;21,86;19,7;18,195;16,69;16,26;17,765;18,195;17,765;16,69;16,69;17,765;17,12;16,26;16,26;16,26;15,4;15,615;16,905;16,475;18,41;17,98;15,615;14,425;14,425;17,765;16,69;15,615;16,26;;;
01/03/2007;16,26;15,615;16,905;17,765;16,475;15,01;13,645;13,255;13,255;11,157;10,2995;10,128;12,67;15,615;13,645;13,645;16,045;24,76;20,42;15,01;15,83;18,41;16,69;15,205;15,01;15,4;13,84;12,085;12,67;11,5;11,5
01/04/2007;13,645;14,62;13,84;14,815;15,01;17,12;16,905;16,69;16,69;20,18;18,195;21,38;21,38;19,27;48,035;39,2;27,62;21,62;18,41;17,335;16,905;17,335;17,55;18,195;43,86;95;64,83;47,38;36,8;29,44;
01/05/2007;25,8;24,26;23,78;19,27;17,98;17,765;20,66;34,74;31,38;26,58;23,78;21,86;22,1;24,5;21,38;22,1;157,65;205,5;124;78,725;131,5;353,35;192,85;113;80,345;62,61;50,38;41,94;35,02;30,54;26,58
01/06/2007;24,02;29,98;24,76;22,34;20,66;18,41;18,625;18,625;17,98;17,12;16,69;16,475;16,26;16,26;15,83;16,475;16,045;15,205;15,01;14,62;15,01;14,23;15,615;15,01;14,815;14,62;14,815;15,01;15,01;14,815;
01/07/2007;15,01;15,01;15,01;15,4;15,01;13,84;13,45;14,23;56,53;45,14;26,06;23,54;27,62;25,02;20,18;18,84;18,41;28,14;22,1;20,18;19,27;29,18;47,7;33,62;34,18;29,7;25,54;23,54;22,58;21,14;20,18
