Data;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31
01/01/2006;1,37;4,64;6,08;3,95;2,6;1,84;1,45;1,25;1,04;0,84;0,781;0,625;0,645;0,664;0,625;1;0,963;1,33;1,58;1,58;1,29;1,04;1,04;1,58;12,3;32,8;14,9;10,7;9,36;7,51;4,43
01/02/2006;3,32;2,72;2,6;2,25;1,72;2,66;4,43;3,32;2,49;2,01;1,62;1,45;1,29;1,41;1,33;1,09;1,09;1;0,881;1,09;1,13;1,04;1,58;2,37;1,95;1,62;1,5;1,29;;;
01/03/2006;1,25;1,66;2,49;4,84;5,87;4,84;3,48;2,6;2,31;2,49;4,11;3;2,25;1,78;1,54;1,45;1,29;1,33;2,72;4,64;6,28;7,64;8,67;15,4;22,6;27,5;14,7;9,66;10,3;10,9;7,77
01/04/2006;5,87;4,64;3,71;3,32;2,72;2,31;2,01;1,78;5,87;43,5;22,6;14;9,51;7,26;6,28;13,2;13,2;10,9;8,28;6,62;5,05;5,15;4,74;3,95;3;2,92;2,66;2,54;2,31;2,01;
01/05/2006;1,66;1,62;1,54;1,41;1,37;1,25;1,33;1,25;1,17;1,17;1,09;1,04;1;1;0,963;0,84;0,801;0,762;0,742;0,801;0,781;0,762;0,723;0,703;0,684;0,723;0,742;0,723;0,645;0,703;0,645
01/06/2006;0,606;0,606;0,606;0,645;0,606;0,606;0,606;0,606;0,664;0,801;1;0,963;0,82;0,684;0,684;0,684;0,664;0,625;0,586;0,567;0,547;0,606;0,567;0,528;0,528;0,84;2,84;2,72;1,9;1,5;
01/09/2006;2,01;27,3;27,3;17,5;10,6;8,03;6,49;5,46;6,08;19,7;14,3;11,3;8,92;7;6,28;5,46;5,25;4,43;3,63;4,84;25,6;15,1;13,4;12,5;9,81;7,9;6,49;5,46;4,84;4,27;
01/10/2006;7,77;51,2;31,4;23,1;18,8;17,3;16,2;12,8;10,6;8,03;6,75;6,39;5,87;5,05;4,35;5,87;5,56;5,36;4,53;3,95;2,66;3;2,66;2,31;2,07;1,78;1,54;1,37;1,21;13,2;16,2
01/11/2006;19,7;14;11,8;10,6;9,36;11;68;57,6;49,2;41,6;33,7;15,4;4,27;3,48;3;2,72;2,49;3,63;37,6;30;26,2;14;9,51;7,77;6,75;5,87;5,05;4,84;7,26;5,15;
01/12/2006;4,35;4,19;4,03;3,48;2,92;2,92;3,24;2,92;3,71;3,56;3,24;3;2,49;2,13;2,01;1,78;1,78;2,01;2,6;3,95;4,74;5,46;6,28;94,5;94,5;56,5;41,6;30,5;17,5;11,2;9,66
01/01/2007;8,282;7,258;6,284;5,46;4,636;3,953;3,317;2,722;2,25;1,778;1,66;1,496;1,332;1,209;1,086;1,004;0,84;1,004;1,25;28,88;27,26;14,875;8,794;6,746;5,872;4,43;5,46;4,945;5,048;4,43;4,43
01/02/2007;5,25;3,95;3,32;2,49;2,01;2,19;4,11;2,66;2,01;1,78;2,37;2,49;2,25;1,78;1,45;1,21;1,09;2,25;11,8;23,6;16,7;24,4;20,4;13,6;10,6;9,66;8,54;6,18;;;
01/03/2007;4,739;3,8735;147,6;42,9;22,6;13,95;11,6425;8,794;6,078;5,151;4,636;3,953;3,794;3,794;11,185;9,05;13,765;68,76;60,12;22,6;8,922;8,282;7,002;5,254;4,0325;3,7145;3,317;2,722;2,427;2,191;1,955
01/04/2007;3,63;10,4;7,26;3,63;2,78;3;5,25;7,26;10,6;11;8,92;8,15;11;16;365;105;36,6;22,6;14,9;11,2;9,97;8,67;7,13;4,84;168;529;128;55,8;30;15,8;
01/05/2007;12,1;13,58;26,72;20,85;14,875;11,9475;12,1;249,5;90,06;40,26;24,6;16,875;14,69;15,06;12,84;13,21;369,5;146,4;59,4;35,72;162;362;104,94;54,48;35,14;24,1;17,52;14,32;11,49;9,66;8,154
01/06/2007;7,386;7,002;6,618;5,872;5,357;4,636;4,1915;3,8735;3,5555;3,476;3,2375;2,9195;2,781;2,663;2,545;2,309;2,132;2,191;2,132;2,073;1,955;1,896;1,719;1,66;1,837;1,66;1,719;1,778;1,578;1,578;
01/07/2007;1,496;1,496;1,414;1,209;1,127;1,291;1,578;2,368;59,4;52,5;26,72;17,52;21,6;19,67;14,69;12,1;9,965;58,68;34,56;24,6;17,52;16,66;83,1;39,6;28,34;23,1;18,38;11,185;9,66;7,77;6,746
01/08/2007;6,284;5,563;4,945;4,43;4,1915;3,7145;3,3965;2,999;2,84;2,84;2,663;2,368;2,368;2,191;2,073;1,837;1,66;1,66;1,778;1,66;1,578;1,578;1,578;1,496;1,414;1,414;1,578;1,837;1,896;2,014;32,82
01/09/2007;49,53;23,6;14,69;10,575;7,386;5,872;5,048;3,953;3,635;3,0785;2,84;2,486;2,191;2,073;1,837;1,778;1,778;1,778;1,896;1,837;1,778;3,0785;29,42;17,95;9,05;5,975;5,872;5,46;4,533;9,355;
01/10/2007;11,49;7,514;5,666;4,533;3,794;3,317;2,781;2,368;2,25;2,368;4,842;7,258;129,2;44,16;68,04;344;162;55,8;25,91;18,81;18,165;64,44;38,94;21,6;13,58;11,3375;9,355;8,282;7,258;5,975;11,185
01/11/2007;53,82;168;198,7;60,12;32,82;21,6;15,06;12,1;47,94;155,4;74,1;31,08;38,61;456,8;207;61,56;26,72;28,34;37,62;26,18;17,09;13,58;10,575;8,922;8,282;7,386;6,284;5,46;4,636;3,794;
01/12/2007;2,999;2,663;5,048;5,46;6,284;49,2;44,16;17,95;14,32;10,575;8,026;7,514;5,666;4,271;3,476;2,999;2,722;2,9195;3,158;2,781;2,309;2,014;1,837;2,663;4,842;8,794;8,282;11,49;11,185;9,66;8,666
01/01/2008;11,49;14,875;22,6;41,58;35,72;29,15;11,49;8,282;6,078;4,842;3,635;7,002;5,254;4,112;3,317;3,158;2,191;2,368;3,158;6,078;5,666;3,953;3,2375;2,545;2,368;2,191;1,778;1,414;1,25;1,414;6,284
01/02/2008;9,05;7,258;6,284;3,953;3,158;2,486;1,955;1,578;1,086;2,25;2,545;2,781;2,25;2,191;1,455;11,9475;5,872;4,945;4,3505;3,794;2,722;2,25;1,578;1,25;2,84;2,309;1,578;1,414;1,778;;
01/03/2008;6,284;8,794;4,636;3,953;3,317;2,722;2,25;1,414;1,086;2,014;2,309;9,05;6,49;4,842;3,794;7,77;7,514;5,872;4,271;3,317;2,781;2,663;2,191;1,837;1,619;1,414;1,209;1,045;0,881;0,801;1,086
01/04/2008;1,004;1,086;1,291;1,086;1,004;1,291;0,963;0,8205;0,723;0,684;0,762;9,355;28,88;139,2;49,86;24,1;49,2;88,28;51,18;57,96;32,82;27,26;23,1;17,52;13,58;14,505;15,245;12,47;369,5;132,5;
01/05/2008;53,82;49,86;43,53;40,26;33,98;21,6;18,38;14,69;11,185;9,66;8,282;6,49;5,872;5,151;4,945;4,533;3,953;3,5555;3,3965;2,999;2,604;2,427;2,309;2,25;2,132;1,778;2,132;2,25;3,158;7,002;5,46
01/06/2008;4,3505;3,953;6,078;42,24;27,26;17,52;12,84;9,66;8,282;10,575;12,84;22,6;55,14;73,32;56,52;30,5;18,595;14,32;11,49;9,355;8,282;7,514;5,872;5,46;4,636;3,635;4,43;9,66;53,16;21,6;
01/07/2008;18,38;12,1;11,185;8,794;8,026;7,002;5,254;5,151;4,739;4,271;3,8735;3,635;3,476;3,2375;2,84;2,722;2,604;2,486;2,309;2,073;2,132;2,309;3,2375;3,8735;2,999;2,84;2,663;2,486;2,25;2,014;1,837
01/08/2008;2,25;2,191;2,545;2,722;2,781;2,545;2,25;2,427;2,545;2,9195;2,073;2,486;9,355;198,7;189,6;48,57;24,1;16,66;12,84;9,355;7,386;6,874;5,666;4,636;4,1915;3,635;3,3965;2,999;2,781;2,663;2,545
01/09/2008;2,545;2,191;1,955;1,955;2,368;4,842;9,355;7,002;6,078;5,975;6,181;27,8;81,4;13,025;9,355;8,794;8,154;7,002;5,872;5,357;9,965;10,27;8,922;7,13;5,46;4,636;4,43;3,317;3,5555;5,357;
01/10/2008;9,2025;22,6;13,95;309;179,2;60,84;30,5;18,38;11,795;11,0325;11,0325;10,7275;7,514;7,898;9,05;10,575;11,795;106;48,57;24,6;17,52;13,025;11,6425;12,47;15,43;35,14;136,9;111;390;282,8;61,56
01/11/2008;51,84;179,2;121,5;62,28;34,56;52,5;45,42;46,05;36,3;25,1;17,09;35,14;60,12;51,84;50,52;22,6;9,66;8,282;6,49;5,46;5,048;4,636;4,112;3,794;3,476;3,158;2,84;2,722;2,368;2,368;
01/12/2008;1,896;1,778;1,778;1,66;1,66;1,537;1,455;1,291;2,132;2,722;2,25;1,778;1,537;1,719;2,722;2,25;1,778;2,014;2,486;1,578;1,332;1,209;1,086;1,168;1,086;1,045;0,922;0,8205;0,762;0,723;0,684
01/01/2009;0,6645;0,7425;1,168;2,427;2,25;2,073;1,778;1,127;1,332;13,21;12,84;29,96;20,1;22,6;20,35;48,885;46,68;29,42;23,1;18,595;14,32;8,794;5,666;4,636;3,635;2,9195;3,5555;2,663;2,368;2,25;1,955
01/02/2009;1,837;1,66;1,537;1,496;1,496;1,004;1,168;1,168;1,127;2,486;4,842;2,25;2,132;1,778;1,496;2,309;1,66;1,66;1,66;1,414;1,209;1,004;0,84;0,723;1,778;4,112;2,84;2,368;;;
01/03/2009;2,722;3,317;3,635;2,84;2,486;1,66;1,537;1,168;1,619;2,014;4,1915;23,1;26,18;19,455;6,49;5,254;2,25;2,722;2,999;2,427;2,014;1,414;1,332;1,25;1,896;2,368;2,25;1,778;1,578;1,25;1,045
01/04/2009;1,004;0,801;0,762;0,801;0,684;0,922;1,332;1,25;1,004;0,801;0,762;0,762;0,723;0,645;0,606;0,489;0,45;0,431;0,431;0,412;0,431;0,528;2,722;2,368;0,922;1,25;1,332;1,496;1,578;1,896;
01/05/2009;0,723;0,684;0,645;0,606;0,606;0,567;0,6645;0,6255;0,5475;0,528;0,489;0,489;0,7035;27,8;63,72;39,6;27,8;8,538;3,635;5,46;4,533;2,9195;2,486;2,368;2,722;6,284;27,8;21,6;51,18;198,05;83,95
01/06/2009;54,48;31,08;20,1;18,81;10,88;9,355;7,002;5,872;5,048;4,43;3,953;3,635;3,158;3,158;4,945;7,002;43,53;49,2;29,15;50,52;51,51;31,95;20,1;10,575;17,305;15,43;12,1;11,0325;9,66;16,23;
01/07/2009;25,1;15,8;12,47;11,185;9,355;7,258;5,975;5,872;5,666;5,872;73,32;45,42;28,34;19,24;13,95;25,1;180,5;57,24;35,72;20,6;15,06;13,95;15,43;13,395;12,285;9,965;8,794;7,77;7,77;6,387;5,975
01/08/2009;377,2;458,6;113;48,57;29,42;20,6;15,8;12,84;13,21;11,795;10,27;8,41;7,258;6,49;6,078;5,048;5,872;6,618;12,47;14,69;11,795;9,66;8,282;7,514;6,284;5,563;5,048;4,3505;3,953;3,635;3,3965
01/09/2009;2,999;2,722;4,842;131,4;51,18;33,4;20,6;163,2;212,6;144;61,56;89,17;81,4;43,53;24,6;17,52;14,32;17,09;71,75999;41,58;28,34;19,67;25,1;34,56;26,72;18,38;14,32;103,88;100,7;46,05;
01/11/2009;9,355;7,514;6,284;5,46;4,636;4,43;4,112;5,666;9,05;6,746;11,795;11,795;10,575;7,77;5,872;5,048;13,58;10,575;8,282;5,872;153,6;99,64;134,7;23,6;19,24;16,23;21,6;17,52;15,43;12,84;
01/12/2009;11,185;9,965;23,1;22,6;13,95;10,88;8,538;16,66;11,795;8,026;6,746;9,05;9,355;8,026;6,181;5,048;4,3505;3,953;4,533;3,953;3,317;4,112;7,514;15,43;13,95;12,47;9,355;17,95;10,4225;7,514;5,872
01/01/2010;5,46;9,66;6,49;4,636;6,284;6,746;14,69;14,32;9,355;7,514;28,34;20,1;75,66;43,53;24,6;14,69;11,185;9,66;8,026;102,82;96,46;46,05;26,45;19,885;16,66;33,98;18,595;26,72;19,24;14,32;9,5075
01/02/2010;7,514;6,618;5,872;5,048;3,794;2,84;2,368;2,604;4,271;3,794;2,722;2,25;1,778;2,368;2,999;4,842;9,355;8,026;5,254;3,794;2,999;2,486;3,158;2,722;3,635;2,722;2,073;1,778;;;
01/03/2010;1,537;1,373;1,209;1,045;0,963;0,8205;0,762;0,723;0,7425;0,645;0,645;0,5475;0,684;4,112;37,62;17,09;10,27;6,746;5,048;4,271;3,8735;5,872;110;190,9;53,16;87,39;135,8;59,4;40,92;25,1;16,66
01/04/2010;13,21;9,05;7,002;7,002;7,258;7,13;6,284;5,048;4,3505;3,7145;3,2375;2,9195;2,663;2,427;2,191;2,132;2,132;1,955;1,778;1,66;1,719;215,3;436,4;132,5;150;428,4;209,8;62,28;43,53;23,6;
01/05/2010;18,81;13,95;11,795;9,965;8,794;7,258;11,795;289,5;104,94;42,9;25,91;17,95;14,32;11,9475;9,66;8,666;63;510,6;169,2;67,32;38,94;26,72;19,24;15,06;11,795;10,88;9,355;7,77;6,746;6,49;7,77
01/06/2010;8,41;7,77;6,746;10,575;14,505;14,875;13,95;11,185;9,355;8,282;7,002;5,666;4,636;3,953;3,635;3,3965;3,158;2,999;2,84;5,46;14,32;100,7;35,72;21,6;14,69;11,185;10,27;7,258;5,872;5,357;
01/07/2010;4,43;4,1915;3,635;3,317;3,0785;2,9195;2,84;2,781;2,545;2,368;2,191;3,158;10,1175;10,575;7,898;7,002;6,181;8,026;12,84;50,52;31,66;114;135,8;51,18;31,08;21,1;13,95;11,6425;9,66;8,282;7,258
01/08/2010;17,95;22,6;15,06;12,47;15,06;13,95;12,47;10,575;9,355;7,514;6,746;5,872;5,563;5,872;5,048;4,3505;4,0325;3,7145;3,476;3,317;3,0785;2,84;2,84;2,486;2,368;2,309;2,132;2,132;2,073;1,837;1,719
01/09/2010;1,66;1,578;1,496;1,455;1,414;1,414;1,332;1,332;1,332;1,168;1,168;1,332;1,168;1,332;1,168;1,086;1,004;0,963;0,84;0,84;0,922;1,045;4,43;11,185;7,514;4,842;3,794;2,999;2,486;2,073;
01/10/2010;1,837;1,66;1,66;1,619;1,455;1,373;9,66;40,26;18,38;10,27;7,77;5,872;4,636;3,953;30,5;96,46;36,3;22,1;13,95;9,965;7,258;5,872;5,254;4,3505;3,953;3,5555;2,999;2,545;2,25;15,43;33,98
01/11/2010;18,38;11,3375;8,538;6,746;5,563;5,254;4,945;4,271;3,635;5,254;6,387;5,46;4,271;3,635;2,999;3,794;5,666;5,048;3,635;2,781;2,486;2,722;3,317;2,999;2,663;2,309;2,073;1,896;1,955;2,25;
01/12/2010;2,604;2,999;3,317;33,98;225,7;152,4;56,52;51,84;33,4;21,6;123,7;251;245;102,82;65,16;24,1;16,66;14,32;12,47;10,88;16,66;26,72;34,56;22,1;16,23;17,52;14,69;11,795;11,49;8,794;7,002
01/01/2011;5,872;12,1;24,6;35,72;20,35;14,32;10,575;7,514;8,794;7,002;5,872;16,23;12,47;8,538;5,46;4,636;4,271;5,666;6,746;5,872;8,282;11,795;15,06;11,795;13,58;32,82;55,14;116;114;63,72;37,62
01/02/2011;66,6;47,94;24,6;17,52;15,06;17,09;25,1;19,67;25,1;23,6;17,95;159,6;156;103,88;49,2;29,42;18,595;21,35;15,8;15,245;15,06;10,7275;8,41;9,2025;10,575;27,26;26,72;17,735;;;
01/03/2011;12,1;9,05;6,49;5,254;4,533;3,953;3,317;2,9195;2,663;4,43;80,55;48,57;22,35;12,47;7,898;5,769;4,636;3,8735;3,3965;3,0785;2,663;2,368;2,014;1,837;1,837;4,112;7,77;9,2025;151,2;127;177,9
01/04/2011;70,98;86,945;42,9;196,1;32,24;19,24;13,58;10,1175;8,026;6,746;5,666;4,945;4,533;4,1915;7,77;20,1;13,58;18,38;17,52;11,185;10,1175;19,24;15,43;29,42;24,85;19,025;11,795;9,355;8,026;6,284;
01/05/2011;7,386;7,77;6,746;5,872;5,048;4,43;4,0325;3,7145;3,476;3,158;2,999;2,781;2,663;2,663;4,271;4,636;3,953;3,5555;3,158;2,781;2,604;2,545;2,486;3,317;4,271;3,7145;3,2375;2,781;2,604;2,427;2,309
01/06/2011;2,132;1,955;1,719;1,578;1,719;1,837;6,746;28,88;17,95;12,47;8,922;7,002;5,563;4,636;4,0325;3,5555;2,999;3,635;3,5555;2,999;5,666;610;141,6;51,84;33,4;118,2;65,16;36,01;24,85;40,26;
01/07/2011;458,6;113;50,19;37,95;26,45;20,1;15,8;13,025;10,575;9,5075;7,514;6,618;5,975;5,357;4,739;4,3505;4,739;111;50,52;29,69;266,1;121,5;49,86;31,66;20,6;15,8;12,1;10,4225;8,538;14,875;22,1
01/08/2011;150;71,76;38,94;25,64;17,735;13,765;11,49;9,66;10,575;14,32;10,7275;9,05;7,77;6,746;5,975;5,357;4,739;5,357;108;95,4;48,255;30,5;108;62,64;36,3;27,8;19,67;15,06;12,285;98,58;55,47
01/09/2011;30,5;20,6;15,06;11,9475;9,965;8,666;8,026;365;286;71,76;38,94;19,24;16,445;14,32;11,795;9,965;8,282;7,642;6,746;12,1;13,95;10,27;68,76;70,98;32,53;20,6;15,06;11,795;8,922;7,514;
01/10/2011;6,618;7,642;8,026;6,284;5,46;4,636;3,953;3,5555;5,048;25,64;14,135;10,1175;54,48;84,8;38,61;29,96;21,6;15,06;10,88;8,794;7,386;6,284;5,46;4,636;9,355;10,575;7,386;6,284;8,282;267,4;61,56
01/11/2011;29,96;19,24;13,58;10,575;8,538;7,258;7,77;6,078;5,048;4,3505;3,953;3,3965;3,8735;5,872;13,21;20,6;15,43;13,025;8,026;6,284;6,284;46,05;28,88;20,1;13,95;10,7275;7,77;5,872;5,048;4,112;
01/12/2011;3,7145;3,158;2,781;2,545;2,368;2,191;2,073;9,2025;10,88;17,09;9,965;6,49;4,945;3,953;3,3965;2,9195;2,486;2,191;1,955;1,778;1,619;1,455;1,291;1,291;1,209;1,66;1,578;1,414;1,209;1,127;1,127
01/01/2012;1,004;0,963;0,84;1,168;0,881;0,7815;0,7425;0,6645;0,6255;0,7035;0,6255;0,567;0,723;5,048;6,49;3,635;2,486;1,837;1,619;1,291;1,127;1,045;1,332;0,881;0,8205;0,801;0,762;0,7035;0,645;0,606;0,567
01/02/2012;0,5085;0,489;0,45;0,431;0,412;0,393;0,374;0,3645;0,3455;0,3645;0,336;0,317;0,528;0,489;0,4025;0,45;0,5085;0,5865;0,5085;0,4695;0,4405;0,7425;0,6255;0,5475;0,801;2,132;3,317;3,158;4,1915;;
01/03/2012;3,953;4,43;4,945;3,476;2,309;1,778;1,414;1,168;0,922;0,7815;0,7035;0,6645;0,567;0,4695;0,567;0,6645;0,606;0,567;0,5085;0,45;0,431;0,528;0,723;0,567;0,4405;0,45;0,7425;0,6645;0,606;0,606;0,5475
01/04/2012;0,5475;0,5865;0,528;0,5085;0,489;0,5085;0,4405;0,4695;0,8205;0,762;0,7035;0,684;0,7425;1,66;6,746;6,746;4,43;3,317;2,486;1,837;1,619;1,455;1,291;1,127;1,045;100,7;56,52;26,18;86,5;35,72;
01/05/2012;21,1;15,615;10,1175;7,642;6,284;5,048;4,271;3,7145;3,3965;3,0785;2,781;3,635;7,386;5,46;4,3505;3,7145;3,158;2,663;2,427;2,191;1,955;1,896;1,778;2,132;5,872;8,794;7,002;7,258;6,746;6,387;6,387
