Data;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31
01/01/2006;30,1;43,75;49,6;43,75;;36,625;34,75;32,5;28,9;27,7;28,6;26,5;27,1;26,8;25,9;24,735;28,3;52,8;55,2;47,6;40,75;36,625;40,75;56,8;51,6;75,8;65,6;53,2;49,2;47,2;39,25
01/02/2006;35,5;32,1;32,1;30,7;30,1;34,8;31;30,1;30,4;32,1;32,9;32,5;29,8;28;33,3;37,4;60;65;60,4;50,8;42,3;52;54,4;47,6;39,6;35,5;30,4;28;;;
01/03/2006;32,125;45,25;56,4;53,6;54;47,6;38,875;33,625;30,7;31;29,8;29,5;29,8;27,1;25,9;25;24,47;24,205;24,205;25,3;40,75;47,2;46,8;40;37,75;41,125;45,625;44,125;77;108,2;79,4
01/04/2006;58,4;46,4;39,25;35,875;34,375;32,125;30,7;29,8;30,7;34,375;39,25;38,125;32,125;28,6;25,9;25,9;25,3;25,3;24,205;23,145;22,615;24,735;26,8;24,205;24,205;24,47;23,675;22,35;20,495;19,7;
01/05/2006;18,64;16,52;15,46;17,845;18,905;18,905;17,315;15,46;17,315;19,7;19,17;19,7;19,17;18,11;16,52;17,315;19,17;16,52;16,785;17,05;16,255;15,99;18,375;20,495;19,435;18,64;18,64;17,05;17,05;18,64;17,315
01/06/2006;14,9;14,1;14,1;15,2;12,8;13,9;16;14,1;11,3;13,9;15,2;14,1;13,4;14,7;13,9;13,9;12,1;12,8;12,8;13,6;15,7;15,2;17,1;14,9;14,7;21,6;25,3;24,5;23,7;22,1;
01/07/2006;21,025;19,435;18,11;17,05;19,17;17,845;14,93;13,62;14,93;18,375;17,58;18,905;19,7;19,7;17,845;16,52;15,195;12,84;14,4;14,665;15,195;14,14;12,84;12,32;12,32;13,88;13,36;13,88;20,23;38,125;31,375
01/08/2006;26,2;23,94;23,41;21,555;20,76;19,7;17,05;16,785;17,58;17,58;16,785;15,99;14,93;13,36;15,46;84,8;247,2;171,5;121,25;83;56,8;43,375;37,75;33,625;32,125;30,4;28,6;28;27,4;25;25,3
01/09/2006;29,2;48,8;106;80;57,6;46;39,6;35,1;37,8;46,8;52,4;45,6;39,6;35,1;31,4;32,9;32,9;34;32,9;32,5;39,3;46;42,3;39,3;37,8;34;31,4;29,8;29,5;28,9;
01/10/2006;29,2;39,3;60;54,8;47,6;43,8;43;41,9;39,3;34;31,4;33,3;46;52,8;47,2;60,4;78,2;64,4;60,8;52,4;45,6;41,5;38,1;35,5;32,5;30,1;28,9;28;27,1;26,2;27,1
01/11/2006;40,8;43,4;38,5;33,6;30,1;29,2;32,1;32,1;31,8;29,2;26,8;26,5;25,6;23,7;22,6;21,8;22,9;32,1;132;255;187;133;98;73,4;58;75,2;130;131;112;93,2;
01/12/2006;77;63,2;56;51,2;49,6;52,8;136;127;87,2;79,4;74;65;54,8;49,2;46;43,8;40,8;37,8;41,5;95;119;123;112;140;167;212;174;121;95;74,6;63,2
01/01/2007;56,4;52,8;52;54,8;60;76,4;80,6;69,8;60,8;54,4;51,2;54;79,4;74;59,6;50;44,5;42,6;45,3;52,8;66,8;60,8;53,6;46,4;42,6;40,4;39,6;41,9;61,2;108;84,2
01/02/2007;65;54,8;48;43,4;40;46,8;47,2;49,6;50;45,3;44,9;46,4;44,1;40,4;35,1;32,5;31,8;31,4;33,6;38,5;59,2;108;121;114;350;291;183;125;;;
01/03/2007;105;115;127;147;109;92;89,6;89;71,6;67,4;78,2;96,8;158;167;148;148;138;147;138;114;103;91,4;80,6;71,6;68;83,6;112;91,4;71;60,4;55,2
01/04/2007;55,2;61,2;55,2;53,2;54;57,6;50,8;47,2;47,2;45,3;43,8;43;50;53,2;60,8;82,4;65;54,8;48,8;44,5;41,5;40,4;39,6;45,3;78,2;150;289;198;130;97,4;
01/05/2007;80,6;69,8;66,2;62,6;59,2;54,8;57,2;91,4;151;120;96,8;81,8;75,2;86,6;100;102;226;457;392;299;265;512;496;395;279;231;194;168;146;127;114
01/06/2007;113;133;127;107;93,8;84,8;83;92;95;84,8;75,8;68,6;63,2;61,2;58;56,8;55,6;54,8;54;53,6;52;49,6;48;46;46,4;46,8;47,2;48,8;48,8;46,8;
01/07/2007;46,4;44,5;43;40;39,3;38,9;38,5;45,6;159;327;216;157;178;175;141;111;89,6;169;173;137;109;136;381;284;228;205;169;140;121;109;104
01/08/2007;99,2;95;95,6;92,6;87,8;78,8;72,2;68;66,2;63,8;62,6;59,6;57,2;56;55,2;53,6;52;51,2;49,6;48,8;47,2;44,9;43,8;43,8;42,6;42,6;48;49,2;48;46,8;82,4
01/09/2007;417;294;213;170;122;98,6;81,8;72,2;63,2;59,2;54;53,6;52,8;50,4;48,8;47,6;48,4;54,4;56,4;56,8;74;151;276;306;220;164;145;165;133;110;
01/10/2007;98;83,6;74,6;69,8;67,4;63,8;63,8;75,8;74;64,4;71;112;210;205;157;395;546;384;282;237;192;171;147;127;116;109;102;96,2;135;296;381
01/11/2007;331;446;656;504;364;293;234;194;172;178;169;147;124;127;220;228;179;156;161;154;122;101;94,4;84,8;80,6;77;72,8;68,6;63,8;58,4;
01/12/2007;56,8;54,4;52;52,8;82,4;185;203;148;110;87,2;75,2;84,2;98;81,2;71;63,8;59,6;56;56,4;61,2;58;56,8;52;50,4;51,6;60,8;84,8;90,2;87,2;89,6;96,8
01/01/2008;98;114,5;107,6;102,8;153,5;131;107,6;96,8;83,6;70,4;64,4;58;57,2;54,8;52,4;49,2;48,4;56,4;105,2;159,5;150,5;104;83,6;70,4;63,2;60,4;58,8;57,2;55,6;58;78,8
