Data;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31
01/01/2007;14,54;14,25;29,9;63,875;73,95;66,2;58,6;47,4;41,05;32,45;41,6;193,4;171,5;102,5;61,55;36,1;29,475;26,5;25,71;24,13;24,92;25,315;22,945;19,39;17,73;16,57;13,38;14,25;37,75;79,6;55,8
01/02/2007;29,05;23,34;18,995;17,73;16,86;26,105;34,15;31,6;27,35;22,155;16,57;15,7;12,8;17,15;15,12;13,38;12,11;12,11;35,55;362,4;193,4;92,925;173;688;368,8;156,5;86,775;66,2;;;
01/03/2007;111,6;190,5;880;372;158;107,7;199,2;173;93,95;74,725;60;55,8;54,4;72,4;61,55;57,9;111,6;205;170;167;105,1;78,575;66,975;60;70,075;77,55;212,5;150,5;89,85;60;55,1
01/04/2007;143,6;84,725;451,1;217;106,4;89,85;80,625;142,4;101,2;73,175;63,1;55,1;46;42,15;36,65;34,575;33,725;31,6;27,35;24,92;23,735;22,55;19,785;18,02;21,365;24,92;24,92;19,785;18,31;16,86;
01/05/2007;16,86;29,475;46,7;41,05;33,725;28,625;44,35;128;67,75;54,4;44,9;79,6;78,575;215,5;115,5;138,8;220;177,45;137,6;103,8;86,775;92,925;123,2;109;92,925;73,175;55,1;43,8;35;35;33,3
01/06/2007;32,875;32,45;30,75;29,475;27,35;26,105;24,92;23,34;22,945;22,945;21,365;18,31;16,86;15,41;17,73;17,73;18,31;19,39;22,155;18,995;16,86;15,99;17,15;16,57;15,7;14,83;17,15;49,5;41,6;29,475;
01/07/2007;23,34;18,02;15,41;15,12;14,83;12,8;14,83;26,925;550;1220;580;;;;;;;;;;;570;372;;;;;;;;
01/09/2007;53;67,75;89,85;48,8;39,5;36,9;34,3;31,06;23,3;20,99;18,68;15,1;13,1;14,1;14,6;13,6;14,1;20,99;33;51,6;372;316;580;580;245,5;119,4;176;116,8;91,9;69,3;
01/10/2007;55,8;51,6;46;43,4;40,8;42,1;40,8;36,9;33;31,06;28,15;29,12;31,06;33;31,06;53;83,7;55,8;46;42,1;34,3;30,09;25,24;20,99;19,45;17,91;16,37;20,99;38,2;73,95;152
01/11/2007;606,6;1105;674;348;60;55,8;48,1;40,5;41,05;41,05;41,05;37,2;35;74,725;528,75;437,8;92,925;65,425;55,1;51,6;44,9;38,85;37,75;35,55;143,6;99,9;67,75;57,9;42,7;35;
01/12/2007;32,45;29,05;27,35;26,5;39,4;75,5;47,4;41,6;34,15;28,2;28,2;29,9;24,13;20,18;16,28;13,96;12,8;16,86;20,18;23,34;24,92;30,75;32,45;25,71;26,5;27,35;29,05;29,05;44,9;70,85;73,95
01/01/2008;64,65;57,9;42,75;86,775;75,5;55,1;46;39,5;32,03;25,24;22,915;21,375;19,45;17,91;18,68;19,065;15,6;14,35;13,6;12,6;13,6;19,065;20,99;25,24;34,3;32,03;25,725;19,065;16,755;44,05;85,75
01/02/2008;212,5;320;110,3;60;44,7;31,545;27,18;27,18;36,25;44,7;41,45;33,65;28,635;22,53;18,295;16,755;23,3;20,99;19,835;18,68;18,295;17,525;17,14;16,37;15,6;41,45;27,665;22,53;66,975;;
01/03/2008;112,9;66,975;48,1;77,55;44,7;35,6;27,18;22,915;19,065;19,45;39,5;32,515;27,665;20,22;19,835;15,35;13,6;11,6;11,85;22,145;42,1;73,95;141,2;57,9;38,85;32,03;28,15;27,18;22,915;20,605;44,7
01/04/2008;30,09;28,15;26,695;26,21;25,24;22,915;15,35;14,6;14,1;15,1;15,1;24,27;42,1;42,75;32,03;20,605;14,85;13,6;14,1;19,45;18,68;27,18;53;32,03;19,45;19,065;31,545;59,3;328;211;
01/05/2008;365,6;626,4;655,8;1325;393,5;235;119,4;83,7;60;50,2;39,5;32,03;32,03;32,03;29,12;28,15;24,27;25,24;25,24;23,3;21,76;18,68;17,14;16,37;16,37;14,6;14,1;13,1;12,1;11,1;12,1
01/06/2008;13,6;12,6;13,6;15,6;20,99;85,75;91,9;67,75;58,6;51,6;44,7;40,8;35,6;32,03;28,15;26,21;25,24;23,3;18,68;15,6;14,6;16,37;18,68;16,37;14,6;14,6;21,76;21,76;83,7;57,2;
01/07/2008;47,4;40,8;40,8;41,45;34,95;29,605;23,3;19,45;21,375;21,375;17,91;15,6;13,85;12,35;10,6;10,4375;9,7875;11,35;14,1;19,45;22,53;18,68;15,6;14,6;13,35;12,6;11,85;11,1;9,95;9,95;22,53
01/08/2008;105,1;118,1;73,175;33;31,06;29,12;27,18;24,755;21,76;22,145;23,3;20,99;18,295;16,37;25,725;44,05;44,7;109;107,7;77,55;62,325;55,1;44,05;32,515;24,27;18,295;14,35;12,6;11,1;11,85;13,6
01/09/2008;15,6;14,6;12,6;12,1;47,4;522;214;60;63,1;67,75;61,55;152;111,6;83,7;64,65;58,6;55,8;54,4;48,8;42,1;36,9;35,6;35,6;36,9;34,3;33;31,06;44,7;48,8;55,8;
01/10/2008;52,3;46;43,4;35,6;30,575;25,24;30,575;17,525;15,6;15,35;21,375;29,605;39,5;67,75;180,35;193,4;150,5;180,35;140;106,4;74,725;60;99,9;463,5;870;1991;2126;209,5;161;128;98,6
01/11/2008;98,6;89,85;75,5;69,3;61,55;152;146;96;64,65;55,8;58,6;199,2;119,4;89,85;75,5;64,65;47,4;40,8;38,2;47,4;131,6;155;300;96;64,65;46;39,5;33;31,06;29,12;
01/12/2008;40,8;46;40,8;43,4;39,5;32,515;28,15;23,785;46;53;59,3;70,075;73,175;71,625;78,575;197,75;156,5;126,8;92,925;73,95;55,8;28,635;24,755;88,825;36,9;27,18;23,785;21,76;20,605;16,37;14,6
01/01/2009;30,09;88,825;469,8;443,5;357,6;232;150,5;90,875;66,2;99,9;67,75;60;44,05;34,3;30,575;36,25;41,45;47,4;55,8;115,5;75,5;59,3;44,05;22,53;19,065;16,755;27,665;73,95;270;142,4;106,4
01/02/2009;76,525;52,3;34,95;29,12;26,695;23,3;21,76;20,22;18,295;16,755;15,6;17,14;15,1;12,85;11,35;10,4375;9,4625;9,3;25,725;46;48,1;41,45;35,6;50,2;78,575;70,075;61,55;50,9;;;
01/03/2009;69,3;75,5;60;55,1;42,1;22,915;20,605;16,37;119,4;283,5;229;158;99,9;67,75;54,4;46;35,6;33;28,15;23,785;21,375;20,22;26,21;26,695;26,695;23,785;19,45;18,295;17,525;15,985;14,1
01/04/2009;13,35;14,1;12,6;11,85;11,35;10,6;9,95;9,7875;10,1125;8,8125;8,325;8;7,675;7,5125;7,35;7,107;6,864;6,864;7,107;7,107;6,9855;8;10,85;48,8;27,665;12,85;11,6;9,7875;8,65;8,1625;
01/05/2009;8,4875;8,1625;7,8375;7,5125;7,35;7,5125;6,9855;6,4995;6,2565;6,0135;6,0135;6,621;9,7875;39,5;71,625;32,515;20,605;18,295;11,35;10,6;10,1125;9,7875;9,625;9,3;8,8125;8,65;8,975;8,8125;12,1;11,1;12,1
01/06/2009;30,09;21,76;16,37;12,1;10,85;9,7875;9,4625;8,975;8;18,295;14,85;12,1;10,4375;9,95;9,3;19,835;63,875;49,5;24,27;21,375;18,68;16,37;14,85;24,755;58,6;31,545;20,99;15,985;14,85;15,1;
01/07/2009;17,91;17,91;15,1;13,6;12,85;11,6;12,1;23,3;30,575;28,15;36,9;34,95;28,635;22,145;58,6;67,75;283,5;89,85;73,175;55,1;48,1;51,6;40,8;32,515;28,15;22,145;19,45;24,27;22,53;20,22;18,295
01/08/2009;16,755;22,53;85,75;64,65;54,4;43,4;54,4;189,05;660;595,2;294;205;89,85;58,6;58,6;66,2;92,925;474;326;170;92,925;60;51,6;43,4;36,25;33,65;33;43,4;39,5;34,95;31,545
01/09/2009;48,8;316;259,5;178,9;122;77,55;75,5;365,6;336;774,1;888;1510;892;486,6;368,8;232;122;184,7;181,8;134;98,6;77,55;60;55,8;44,7;70,85;1160;700;469,8;359,2;
01/11/2009;18,68;16,37;13,6;11,6;12,6;15,6;15,6;16,37;21,76;20,99;19,45;73,95;235;664;626,4;263;116,8;83,7;85,75;176;279;211;155;96;93,95;79,6;67,75;57,2;47,4;43,4;
01/12/2009;38,2;40,15;50,9;48,1;43,4;39,5;24,27;22,145;20,99;19,45;42,75;78,575;61,55;46;34,3;40,8;115,5;78,575;57,9;48,1;40,15;24,27;27,18;24,27;22,915;19,45;15,6;14,6;13,6;12,1;12,6
01/01/2010;122;130,4;76,525;57,9;44,7;197,75;86,775;57,9;49,5;66,975;98,6;92,925;81,65;72,4;63,875;50,2;36,25;33,65;36,25;35,6;33;44,05;62,325;60;48,8;58,6;57,2;60;54,4;54,4;60
01/02/2010;86,775;92,925;75,5;68,525;61,55;62,325;77,55;173;233,5;178,9;146;141,2;83,7;64,65;153,5;434;242;149;106,4;84,725;66,2;67,75;105,1;82,675;50,9;40,8;35,6;28,15;;;
