Data;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31
01/04/1977;;;;;;;;;;;;;;13,15;11,71;10,225;17,954;12,25;13,896;13,51;22,59;21,618;17,51;13,51;18,398;15,054;13,51;12,43;9,909;10,72;
01/05/1977;9,456;10,885;17,303;29,732;25,91;16,268;10,885;9,154;8,55;7,865;9,305;6,565;7,18;7,454;5,95;5,95;5,95;5,95;5,95;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,591;3,87;4,076;4,9
01/06/1977;5,74;5,32;4,076;3,87;3,87;3,87;3,87;3,87;3,87;3,87;3,666;2,85;2,85;2,85;2,85;3,666;3,768;4,076;2,85;2,85;3,054;3,666;3,87;3,666;7,18;6,565;5,32;3,87;3,36;3,462;
01/07/1977;3,36;2,85;2,85;2,65;2,35;2,35;2,65;1,85;1,85;1,85;1,85;1,85;2,65;2,05;1,85;1,85;2,35;1,85;1,85;1,85;1,85;2,25;4,076;3,87;8,413;6,934;4,694;3,87;3,36;2,85;2,75
01/08/1977;2,75;4,282;4,282;3,36;3,36;2,85;2,65;2,45;2,25;2,25;2,75;2,35;1,95;2,65;4,076;8,413;9,305;19,73;14,282;9,456;6,934;5,74;4,694;3,87;3,87;4,9;4,591;3,87;2,85;3,462;6,934
01/09/1977;6,565;5,32;4,282;3,666;3,258;4,9;53,43;70,368;60,588;31,47;15,44;10,72;7,591;5,95;4,9;5,425;8,413;7,454;11,71;14,282;14,668;7,728;12,43;14,668;15,054;10,885;7,728;6,442;4,9;4,591;
01/10/1977;25,118;67,755;96,27;97,29;86,225;73,504;78,558;85,736;74,4;55,385;23,34;19,73;32,93;44,29;49,66;41,88;29,454;67,755;67,755;57,34;34,465;19,73;13,896;11,545;9,305;8,55;8,276;7,18;3,87;5,95;5,95
01/11/1977;5,425;6,934;5,95;7,18;11,89;10,06;8,55;12,61;20,674;15,854;25,91;49,66;21,146;51,545;37,28;21,854;14,282;10,06;7,865;6,565;5,74;5,11;5,95;5,635;7,454;19,73;12,61;7,18;19,73;18,62;
01/12/1977;28,62;36;44,29;48,934;39,2;30,01;32,638;36;28,62;17,51;15,44;27,23;14,475;12,61;11,38;10,885;24,09;30,01;32,93;34,158;24,59;22,09;43,942;62,238;59,37;49,66;32,93;24,59;16,475;12,43;9,758
01/05/1978;;;;;;;;;;;;2,65;2,65;2,35;2,15;2,15;5,11;5,11;3,564;3,462;3,054;2,85;2,55;2,45;2,45;2,35;2,35;2,05;1,85;2,05;2,15
01/06/1978;2,15;1,85;1,85;1,654;1,556;1,458;1,458;4,488;11,38;7,865;5,425;5,11;3,462;3,258;3,054;2,952;2,85;2,45;2,35;2,25;5,215;12,79;11,545;7,865;5,845;4,694;4,282;4,076;3,87;3,666;
01/07/1978;3,36;2,85;2,85;2,85;2,65;2,65;2,45;2,35;2,35;2,25;2,15;2,15;2,05;1,95;1,85;1,85;1,85;2,35;3,462;3,36;3,36;3,462;5,74;6,319;6,811;6,196;5,215;4,385;3,87;3,462;2,85
01/08/1978;3,36;3,36;3,156;2,85;2,45;2,25;1,85;1,85;1,85;1,556;1,36;1,85;28,064;39,2;28,62;16,268;11,71;10,06;6,934;4,385;5,425;8,55;7,591;5,95;6,319;5,215;4,385;3,973;3,87;3,666;4,694
01/09/1978;5,95;4,385;13,33;31,47;38,56;28,064;17,954;13,15;27,23;21,618;14,668;10,06;7,591;7,18;20,438;34,465;26,702;16,682;11,89;8,701;7,317;6,688;6,073;5,32;4,9;4,694;4,385;5,005;4,694;4,282;
01/10/1978;5,845;4,694;3,87;3,666;3,054;2,35;2,15;2,35;2,25;2,25;2,75;2,75;2,35;2,25;1,95;2,35;4,591;3,973;29,732;86,225;109,695;101,395;82,352;54,603;22,84;10,72;7,591;6,934;5,95;5,635;5,53
01/11/1978;9,607;9,909;7,591;7,317;11,05;17,096;12,07;8,852;6,811;6,073;5,425;5,425;4,797;4,488;4,076;3,973;5,95;7,591;7,454;14,668;19,064;29,454;37,92;35,693;35,386;25,118;17,954;26,174;21,146;13,896;
01/12/1978;9,909;7,454;5,845;5,215;4,488;4,385;15,44;22,09;14,861;12,61;16,682;23,09;15,44;11,71;11,215;13,703;32,638;50,037;62,238;65,59;55,776;35,693;19,508;13,896;10,39;49,297;81,876;89,175;75,786;53,053;25,646
01/01/1979;34,772;42,215;48,934;48,571;45,682;29,732;24,34;24,34;23,59;20,438;15,647;12,61;10,72;11,215;11,215;8,55;7,454;7,454;6,688;6,196;5,95;5,425;7,057;6,811;5,425;4,797;5,95;5,005;21,618;29,732;17,954
01/02/1979;10,06;6,934;6,319;7,454;13,33;14,282;9,909;8,701;8,002;7,454;6,811;5,95;5,635;9,909;9,758;6,688;5,635;4,797;4,385;4,694;4,694;4,488;5,74;11,05;24,09;21,382;19,966;18,176;;;
01/03/1979;17,096;13,51;11,545;9,607;8,002;6,811;6,196;5,425;4,797;4,488;22,84;32,638;36;53,43;71,712;73,504;60,588;44,638;28,898;19,286;13,703;10,885;9,154;7,865;8,002;7,317;6,565;6,073;5,635;5,425;4,9
01/04/1979;4,591;4,385;4,797;8,852;9,154;9,154;8,139;6,073;5,53;5,215;5,32;4,9;5,74;9,456;13,15;12,25;10,72;14,861;19,508;14,668;9,909;7,728;6,565;5,95;5,95;7,18;6,196;6,442;6,442;6,319;
01/05/1979;6,073;5,005;4,385;8,139;10,555;8,002;7,18;6,688;37,28;68,62099;76,248;69,054;67,755;66,45599;71,264;70,816;59,37;36;21,382;15,054;13,15;10,39;9,154;10,06;9,003;8,55;7,591;7,454;6,565;10,225;8,55
01/06/1979;6,934;5,95;5,74;5,425;5,11;5,425;6,073;7,591;10,555;9,003;7,317;6,196;6,073;6,811;6,565;6,073;5,425;4,9;4,797;4,488;4,385;4,385;4,282;3,87;5,74;15,44;11,545;9,607;7,454;6,319;
01/07/1979;5,845;5,53;5,425;6,811;6,073;5,53;7,454;9,909;26,174;31,47;29,732;20,438;14,668;10,885;8,55;7,591;6,565;6,073;5,74;6,196;5,74;5,425;4,797;4,591;4,488;6,073;6,073;5,425;4,488;4,076;4,076
01/08/1979;3,973;3,87;3,87;3,666;3,36;3,258;3,258;3,258;3,054;2,952;2,85;2,65;2,65;2,952;3,973;4,385;4,797;19,286;28,62;17,096;10,885;7,865;6,319;5,32;4,385;3,768;3,564;3,462;3,258;2,85;3,156
01/09/1979;3,36;3,564;10,06;10,06;7,865;6,442;5,635;4,797;3,87;6,688;26,966;44,986;39,535;28,62;22,34;17,303;14,282;12,79;15,44;12,07;9,003;7,317;12,97;13,33;10,06;8,276;7,18;6,442;5,95;5,74;
01/10/1979;5,95;19,286;28,064;27,786;18,398;16,475;24,854;47,119;67,322;65,171;47,845;26,438;16,268;46,03;66,889;61,4;41,88;20,674;12,25;10,39;11,89;11,215;9,154;7,865;14,089;27,508;18,398;12,97;11,215;10,225;11,05
01/11/1979;9,909;14,668;22,59;17,51;13,15;12,97;9,758;13,703;38,24;45,682;68,62099;75,786;65,59;46,03;25,91;32,054;30,594;22,09;16,268;12,43;10,39;11,215;16,475;13,51;33,544;52,299;49,66;30,01;16,682;11,215;
01/12/1979;9,456;9,456;11,71;13,51;22,84;16,889;11,71;10,06;8,002;8,139;7,865;6,811;6,073;16,475;30,01;54,212;69,487;62,657;40,875;22,59;17,303;13,896;12,07;11,215;9,758;8,002;7,454;6,934;6,073;5,425;6,319
01/01/1980;6,934;5,32;4,591;3,666;3,054;2,85;7,591;16,061;13,33;32,93;42,215;42,55;28,064;19,508;14,861;14,089;46,393;73,056;88,181;82,828;67,322;41,88;20,438;13,896;28,898;44,638;44,638;26,966;51,168;69,92;66,45599
01/02/1980;48,208;31,47;33,851;25,646;18,842;15,247;12,61;23,09;19,064;12,97;13,703;55,776;80,448;82,352;64,333;43,246;25,382;23,34;24,854;19,966;14,089;11,545;9,456;8,701;19,286;20,438;16,061;15,647;27,786;;
01/03/1980;40,875;34,158;20,91;13,51;10,555;8,852;8,002;9,456;12,25;10,555;7,728;9,909;12,25;12,43;24,34;52,676;69,054;69,487;58,964;33,851;18,398;11,05;9,003;7,865;7,18;6,319;6,196;14,089;12,25;17,303;14,475
01/04/1980;10,225;8,139;6,934;6,319;6,442;6,073;5,845;7,18;6,442;5,95;5,845;5,215;5,215;10,225;36,96;41,88;27,786;15,247;10,555;8,413;7,18;6,442;5,845;5,635;5,32;4,9;4,591;4,385;4,385;3,973;
01/05/1980;3,87;4,9;6,442;5,95;5,425;4,591;3,87;5,005;7,317;5,53;4,9;4,282;4,076;3,87;3,87;3,666;3,462;3,36;3,666;3,973;3,87;3,973;3,666;3,36;3,054;2,85;2,85;2,952;2,952;2,952;2,65
01/06/1980;2,45;8,139;9,154;5,74;4,282;3,666;3,258;3,156;3,054;2,85;2,85;2,85;2,55;2,65;2,45;2,15;2,05;2,05;2,25;2,25;3,87;14,282;9,758;6,196;6,934;31,762;27,23;14,668;9,456;6,934;
01/07/1980;6,196;22,84;39,2;45,682;43,594;33,237;18,62;12,43;11,05;29,732;38,24;34,772;26,702;17,954;12,79;9,607;7,728;7,057;6,319;5,95;5,635;5,32;4,9;4,797;4,385;4,282;3,87;3,87;3,666;20,438;55,776
01/08/1980;62,657;46,756;26,966;12,79;9,456;7,865;6,811;5,74;5,215;4,797;4,488;4,488;4,282;4,076;3,87;4,076;3,768;4,9;5,845;5,11;14,089;19,064;18,398;19,286;40,54;65,171;77,634;67,322;43,246;21,618;13,33
01/09/1980;11,38;18,842;39,2;33,237;19,966;12,43;9,456;8,276;7,18;13,51;12,79;10,06;8,852;10,555;10,72;28,898;32,93;20,202;17,303;30,594;29,732;34,465;35,693;31,178;15,854;10,555;8,55;10,885;44,638;38,88;
01/10/1980;22,09;14,282;11,215;11,38;8,139;8,701;7,454;17,954;38,56;28,898;18,62;23,34;49,297;54,994;49,66;37,6;25,118;17,096;32,93;38,56;38,88;50,791;74,4;82,352;74,862;46,03;35,693;34,772;30,594;20,674;22,59
01/11/1980;23,59;16,682;12,97;10,555;9,154;7,865;13,15;13,15;15,854;25,91;19,286;16,061;13,15;11,215;9,456;7,728;6,688;5,635;5,53;4,694;4,385;3,973;3,973;6,688;8,139;6,442;4,9;4,282;3,87;4,591;
01/12/1980;4,9;13,15;22,09;19,286;18,62;27,23;27,786;21,146;16,475;11,05;11,38;10,72;28,064;33,851;17,954;10,72;7,591;5,635;9,607;47,845;85,247;113,37;127,23;123,465;108,65;89,175;67,322;69,487;95,76;108,13;100,365
01/01/1981;80,924;59,37;32,054;16,268;13,896;15,854;27,786;24,59;27,23;31,178;39,87;46,393;39,87;40,875;55,776;58,152;67,755;72,608;86,714;98,82;101,91;94,74;83,304;74,4;42,898;36,64;38,56;34,158;23,84;21,618;20,91
01/02/1981;11,89;11,545;12,43;11,71;11,215;10,72;23,34;56,558;44,638;20,438;14,282;11,71;10,225;14,089;11,89;10,06;8,701;8,002;7,18;6,442;9,607;42,898;64,752;70,816;77,634;67,755;45,334;21,382;;;
01/03/1981;12,97;12,61;11,38;15,44;20,438;19,286;12,97;20,91;28,62;21,854;15,854;10,555;9,003;8,413;7,865;6,934;6,688;6,565;7,728;6,934;6,196;6,073;5,425;5,11;5,005;4,9;14,089;45,682;93,215;145,884;153
01/04/1981;138,89;118,37;93,48;65,343;32,41;20,714;15,379;13,024;12,464;14,973;12,281;11;9,956;10,13;10,304;18,078;17,652;32,41;37,164;21,16;14,382;12,281;10,652;9,434;11,915;14,77;17,865;19,376;14,576;11,732;
01/05/1981;9,956;8,93;8,27;7,94;6,07;6,994;6,994;6,07;5,635;5,345;5,2;5,2;4,91;4,91;4,765;4,502;6,84;22,325;38,624;34,051;20,714;13,606;11,732;9,782001;8,435;7,61;6,84;7,61;7,148;7,148;6,686
01/06/1981;6,07;5,78;6,07;6,224;5,345;6,994;7,94;6,378;5,345;5,2;4,91;4,765;4,765;4,266;4,384;4,384;4,91;4,384;4,03;3,912;3,912;3,558;3,558;3,794;3,912;3,912;3,794;3,676;3,242;3,341;
01/07/1981;3,242;4,384;9,608;6,378;13,024;18,078;14,382;17,013;15,582;15,176;10,13;7,775;6,686;5,925;5,345;4,91;4,502;3,912;3,676;3,676;3,558;3,44;3,242;3,242;17,013;40,102;22,558;12,098;9,095;7,94;6,532
01/08/1981;5,925;5,78;5,49;5,49;3,912;3,676;3,558;3,44;4,384;8,105;5,49;4,502;7,456;13,8;7,94;5,78;4,765;4,502;4,266;3,794;3,143;3,044;2,846;2,648;2,648;2,648;2,846;6,532;16,394;15,988;10,826
01/09/1981;9,434;9,095;8,105;7,94;6,07;4,148;3,912;3,676;3,341;2,648;2,846;2,747;2,45;2,45;2,45;2,286;1,958;1,794;1,63;1,63;2,286;3,341;4,148;4,91;11,732;17,439;12,464;7,775;6,686;8,435;
01/10/1981;7,61;5,635;4,384;4,384;8,765;7,148;6,224;6,532;9,434;9,608;7,61;6,994;8,93;9,095;6,84;6,84;5,635;4,62;4,502;19,153;44,68;36,58;14,576;9,434;6,84;6,07;26,666;54,5;79,328;110,465;128
