Data;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31
01/10/1977;;;;;;;;;;;;;;;;;17,16;13,52;11,16;8,86;7,41;6,42;5,76;4,845;5,43;5,43;5,76;4,845;4,08;3,57;3,315
01/11/1977;14,04;10,24;7,08;5,76;5,76;5,1;14,04;9,78;7,08;7,41;8,4;30,35;11,62;8,4;8,4;6,75;4,59;3,825;3,57;3,315;3,06;5,1;8,4;8,4;10,7;8,07;7,08;8,07;6,75;5,76;
01/12/1977;4,845;5,43;5,43;2,24;18,2;9,32;31;65,55;13,52;12,08;9,78;8,86;7,08;6,75;18,83;12,08;10,24;7,74;6,42;5,1;5,1;54,15;29,7;22,61;17,68;11,62;7,08;6,09;4,845;6,42;47,35
01/01/1978;43,3;49,05;16,12;10,24;8,4;10,7;7,41;7,08;11,62;6,09;5,1;4,59;3,06;2,085;1,465;1,155;0,706;0,4855;3,06;8,4;6,09;14,56;18,83;13,52;22,61;23,24;48,2;13,52;28,4;21,35;16,64
01/02/1978;18,2;11,62;8,86;41,7;36,25;20,72;12,54;8,86;7,08;4,845;11,16;38,5;24,5;13;8,4;18,83;7,74;5,43;4,845;4,845;14,04;36,25;20,72;13,52;7,41;6,09;5,76;4,335;;;
01/03/1978;4,08;12,54;11,16;20,09;46,5;40,9;8,07;17,68;18,83;14,04;15,6;93,62;27,1;7,74;7,41;6,75;7,41;8,07;6,09;5,1;99,7;57,85;25,15;17,68;10,24;7,08;40,1;12,08;4,335;2,395;6,09
01/04/1978;5,43;4,845;4,59;4,08;3,315;3,315;3,06;2,805;2,805;2,805;2,55;2,55;2,395;2,395;2,24;2,085;1,93;1,93;1,93;1,775;1,775;1,775;1,775;1,62;1,465;1,31;1,31;1,31;1,62;2,395;
01/05/1978;12,54;9,78;5,43;4,845;2,805;2,55;2,24;2,085;1,93;1,93;1,62;1,62;1,465;1,465;1,31;3,57;4,59;3,825;1,775;1,465;1,465;1,31;1,31;1,155;1;1;0,9265;0,853;0,853;0,7795;0,7795
01/06/1978;0,706;0,706;0,706;0,6325;0,559;0,559;0,559;0,6325;1,155;0,853;0,7795;0,7795;0,7795;0,706;0,6325;0,6325;0,559;0,559;0,559;0,6325;0,6325;0,6325;0,6325;0,559;0,6325;0,7795;0,853;0,7795;0,6325;0,6325;
01/07/1978;0,559;0,6325;0,6325;0,6325;0,559;0,4855;0,4855;0,4855;0,412;0,412;0,412;0,412;0,3385;0,3385;0,3385;0,3385;0,265;0,3385;0,265;0,4855;2,24;2,085;2,24;5,43;4,59;2,395;2,085;2,395;2,085;5,43;8,4
01/08/1978;5,43;3,825;2,24;2,085;1,775;1,62;1,31;1,155;1;0,9265;1,155;16,64;18,83;8,86;7,74;5,1;4,845;4,08;3,06;3,57;5,43;4,59;4,335;5,1;4,335;3,825;3,57;3,06;2,55;2,395;3,825
01/09/1978;3,315;2,805;42,5;42,5;20,72;11,16;9,32;8,07;17,16;9,78;5,43;5,1;4,845;5,1;8,07;7,08;5,43;4,845;4,08;3,825;3,315;2,805;2,55;2,395;2,085;2,085;2,085;1,93;8,86;6,09;
01/10/1978;5,1;4,335;3,825;4,335;2,805;2,395;2,24;1,93;1,62;1,775;5,43;4,59;4,08;4,335;3,57;2,395;2,085;1,93;61,65;43,3;35,5;16,12;9,78;6,42;6,09;4,845;4,59;4,59;3,825;3,57;4,335
01/11/1978;26,45;19,46;14,56;9,78;6,75;5,1;4,845;4,08;3,315;2,55;2,24;2,24;1,62;1,465;1,465;1,465;1,465;1,465;1,465;1,93;1,155;12,54;92,1;39,3;20,09;10,7;8,07;5,43;5,1;4,59;
