Data;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31
01/01/2008;81,35;63,5;59,55;144,95;110,8;69,8;55;54,025;46,85;48,03;51,75;47,735;48,325;45,08;46,26;43,31;44,195;42,425;43,605;44,785;44,49;43,9;43,015;41,835;42,13;39,18;36,94;42,72;31,92;43,015;36,675
01/02/2008;35,085;38;38,885;38,295;36,145;37,735;31,14;31,92;32,965;41,54;35,615;36,94;36,94;37,47;38,59;35,88;35,88;34,82;29,32;31,4;31,14;31,14;29,58;34,29;26,21;29,06;30,1;32,18;37,735;;
01/03/2008;38,59;37,735;42,425;38,59;34,025;34,82;33,76;33,495;30,88;30,88;36,145;35,35;32,44;32,44;31,66;31,4;34,555;30,88;29,32;29,06;30,62;27,76;31,92;33,23;32,44;29,84;29,58;29,58;30,36;29,58;29,58
01/04/2008;38,295;32,18;31,92;29,32;28,28;29,06;29,06;28,8;29,06;28,8;29,32;39,475;268,7;236,8;92,96;71,2;65,6;78,55;61,5;56,95;48,915;46,26;41,54;39,77;38;36,94;43,605;42,13;117,2;110;
01/05/2008;72,25;69,8;110,8;79,6;77,15;67,35;58,25;53,375;49,505;48,325;47,145;46,555;42,72;39,18;39,475;40,36;36,41;42,13;34,025;38,295;36,675;37,47;39,18;41,245;36,41;38;34,025;35,35;42,425;41,835;43,31
01/06/2008;39,18;36,145;51,425;92,96;79,25;61,175;78,2;69,1;62,8;111,6;86,95;71,2;63,15;58,575;51,425;49,21;48,03;45,67;46,85;45,67;47,735;47,145;45,965;44,785;43,605;46,26;166,5;369,6;195;138,65;
01/07/2008;109,6;94,04;83,8;77,15;68,05;71,55;60,85;63,5;59,225;59,225;58,25;53,7;52,075;53,7;51,1;53,05;52,725;55;52,075;49,8;47,44;52,4;55,325;53,375;51,1;50,45;48,03;46,85;45,67;45,67;45,375
01/08/2008;45,67;54,35;59,55;53,375;54,35;47,44;48,62;48,03;48,03;46,26;45,67;45,67;67,35;64,55;59,55;55,325;54,675;55,65;97,64;89,4;76,45;64,2;69,1;53,7;45,08;45,965;44,785;46,26;45,67;42,425;44,785
01/09/2008;40,95;43,015;41,54;35,35;40,95;47,44;46,85;46,555;46,26;45,67;45,08;48,915;55,975;53,05;49,8;48,03;42,72;44,785;44,785;42,72;39,77;44,49;40,655;42,72;40,36;38,59;36,94;39,77;36,94;42,425;
01/10/2008;40,655;38,885;43,015;37,47;53,375;42,13;40,655;39,475;36,41;35,35;35,35;42,425;38,59;40,655;36,675;50,45;122,45;182;125,6;94,4;76,8;76,45;101,2;178;131;235,7;318;177;583,8;366,6;195,5
01/11/2008;149,9;381,9;231,3;169;135,5;121,2;167;117,2;104,4;101,2;92,24;100,4;86,6;80,3;80,3;76,8;70,5;67;64,9;62,8;64,2;62,15;60,85;60,2;58,9;58,9;60,85;58,9;52,4;53,7;
01/12/2008;56,95;57,275;54,675;59,55;53,05;45,67;52,075;45,375;49,505;51,75;47,44;50,775;46,85;49,21;54,35;54,675;56,3;51,425;50,45;45,965;47,735;44,49;43,31;42,72;43,31;43,31;43,015;42,13;42,425;45,08;44,49
01/01/2009;43,015;43,605;44,195;43,605;40,655;40,36;38,295;36,675;37,205;44,49;42,72;38,885;42,72;39,77;43,015;41,835;42,13;43,31;40,065;42,72;41,54;40,95;39,77;35,615;36,41;36,675;33,23;29,58;31,4;31,66;31,4
01/02/2009;32,44;35,615;33,23;30,1;31,66;33,76;30,62;29,84;33,76;33,23;35,35;41,835;38,885;32,7;32,965;36,94;31,4;29,58;31,66;34,555;29,32;31,14;32,965;28,28;34,025;29,58;31,14;35,085;;;
01/03/2009;30,62;35,615;31,92;31,4;31,14;28,28;22,15;25,35;23,63;22,57;19,63;23,845;22,57;23,2;23,845;25,135;21,52;23,63;24,49;18,2;24,06;17,8;21,52;22,15;22,57;21,94;21,1;22,99;21,31;24,705;24,06
01/04/2009;22,99;20,26;17,8;16,2;21,1;17,2;22,15;22,15;21,31;17,4;20,05;20,05;22,36;25,35;24,275;23,63;15,4;15,6;19,84;19,21;22,99;24,705;22,57;23,2;18,6;20,68;17,8;20,26;15,6;22,78;
01/05/2009;18,2;19,21;25,135;22,57;22,15;20,05;19,21;18,4;16;19,84;19,21;21,52;24,49;53,7;74,7;47,145;36,41;25,135;31,92;25,35;26,855;26,64;26,855;24,275;25,995;23,2;23,415;31,4;24,705;158,5;176
