Data;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31
01/09/1976;;;;;;;;;;;;;;;;;;9,523999;9,127;9,921;9,127;9,921;9,127;8,257;7,783999;10,715;10,318;9,127;8,257;7,783999;
01/10/1976;7,783999;7,783999;6,838;9,127;13,99;9,523999;8,257;9,127;9,921;12,7;11,112;8,257;8,257;7,783999;9,921;25,92;11,906;9,523999;11,112;9,921;9,127;8,257;9,127;8,73;8,257;9,127;9,523999;9,921;9,523999;9,523999;9,127
01/11/1976;9,127;8,257;9,127;9,921;15,28;16,14;9,127;8,73;8,257;7,311;8,257;8,73;8,257;14,85;8,257;8,73;8,257;9,127;8,73;9,921;9,921;9,127;9,127;8,257;7,311;6,365;6,365;6,838;8,257;11,906;
01/12/1976;73,8;40,12;13,13;11,509;10,715;9,921;9,127;8,257;8,257;8,73;9,127;9,127;8,257;7,783999;7,783999;9,127;9,523999;8,73;8,73;7,311;8,257;8,73;8,73;8,73;8,257;5,892;10,318;9,921;8,73;8,257;8,257
01/01/1977;7,783999;7,311;8,73;13,56;47,2;36,08;23,04;20,68;11,112;12,303;11,112;14,85;16,57;17,92;11,112;9,523999;24;109,5;190;204,4;78;43,5;34;22,08;18,38;21,14;20,22;18,84;17;16,57;17
01/02/1977;102,45;57,52;70,2;56,41;109,5;72;52,49;38,36;30,4;26,9;28,4;23,52;22,08;22,08;20,22;17;16,57;16,14;16,57;17,46;16,57;14,85;13,56;11,906;10,715;10,318;9,127;8,73;;;
01/03/1977;7,783999;26,4;15,28;21,14;17;18,84;34;17,46;16,57;15,28;13,56;11,509;9,921;15,28;27,4;21,6;21,6;12,7;10,715;9,921;11,906;30,4;23,04;17,92;13,56;13,99;12,303;12,303;17;63,1;140,6
01/04/1977;58,14;34;30,9;46;31,4;23,52;18,38;13,99;20,68;31,4;18,38;20,68;19,76;14,85;13,56;13,13;11,906;11,509;13,13;17,46;17;16,57;17;17,46;18,38;17,92;18,38;15,28;15,28;14,42;
01/05/1977;13,99;16,57;22,08;21,14;19,3;18,38;17,92;16,14;16,57;12,7;11,509;10,715;9,921;9,921;9,921;11,112;9,127;8,73;7,783999;8,257;8,257;7,783999;7,311;7,783999;8,257;8,257;9,127;9,127;9,127;8,73;9,127
01/06/1977;7,783999;7,783999;7,783999;9,127;9,523999;9,127;9,523999;9,127;9,523999;9,127;8,73;8,73;8,73;7,783999;7,783999;8,257;8,257;8,73;8,257;8,73;9,127;9,127;8,73;8,73;10,318;11,112;9,921;9,127;8,257;8,257;
