//------------------------------------------------------------------------------
//
// Sistema de Informações Hidrológicas
// Versão Web 3.0
// © 2001 Agência Nacional de Águas (ANA)
//
// NivelConsistencia: 1 = Bruto, 2 = Consistido
// MediaDiaria: 0 = Não, 1 = Sim
// MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
// Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca
//
// Restrições da consulta:
//   Código da Estação: 74320000
//
//------------------------------------------------------------------------------

//EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status;
74320000;1;01/01/2008;;1;1;19,12;1,514;4,7306;5;28;0;0;1;;0;7,465;7,33;7,6;7,6;15,86;11,644;7,87;4,82;3,935;3,227;2,915;7,6;4,932;3,8465;3,758;2,51;2,1725;2,105;3,6695;8,275;5,268;3,404;2,645;2,1725;1,9025;1,7675;1,6535;1,5605;1,514;1,514;4,112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74320000;1;01/02/2008;;1;1;8,68;0,956;2,1153;1;28;0;0;1;;0;8,275;6,164;3,935;2,78;2,1725;1,7675;1,514;1,2815;1,142;1,3745;2,915;2,51;2,1725;1,607;1,3745;1,235;1,6535;2,105;1,7;1,328;1,142;1,235;1,328;1,7;1,6535;1,235;1,049;0,956;2,0375;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;
74320000;1;01/03/2008;;1;1;;;;;;0;0;0;;0;7,6;3,935;2,375;1,835;1,607;1,328;1,049;0,956;1,7;2,78;4,289;4,112;3,404;2,375;1,835;2,375;1,97;1,607;1,421;1,328;1,142;1,049;1,049;0,956;0,956;0,956;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74320000;1;01/04/2008;;1;1;;;;;;0;0;0;;0;0,77;0,77;;;;;;;;;;2,24;18,91;76,665;32,44;20,17;82,41;82,7;38,215;33,6;29,14;21,74;17,23;13,64;11,173;11,016;17,44;13,085;276,3;83,28;;;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;0;
74320000;1;01/05/2008;;1;1;50,92;3,758;15,2706;3;26;0;0;1;;0;46,6;41,4;46,6;44,52;37,725;31,28;24,795;20,59;17,02;14,38;12,9;11,644;10,545;9,76;8,95;8,005;7,33;6,724;6,276;5,828;5,38;4,932;4,5545;4,2005;4,0235;3,8465;3,758;3,8465;10,231;9,355;6,388;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74320000;1;01/06/2008;;1;1;58,5;5,268;18,893;14;2;0;0;1;;0;5,828;5,38;13,825;38,215;24,56;16,81;12,9;10,545;10,859;16,81;15,86;30,44;38,46;53,35;43,48;26,8;20,59;16,81;14,38;11,33;11,33;10,074;9,085;8,545;8,005;7,6;7,735;24,795;30,18;22,21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
74320000;1;01/07/2008;;1;1;17,44;2,24;5,3634;1;31;0;0;1;;0;16,415;12,9;11,33;11,33;9,625;8,41;7,33;6,5;6,052;5,604;5,044;4,5545;4,2005;4,0235;3,8465;3,581;3,3155;3,1385;2,9825;2,8475;2,78;3,227;4,0235;3,935;3,581;3,1385;2,8475;2,645;2,4425;2,375;2,24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74320000;1;01/08/2008;;1;1;91,5;2,24;8,7721;15;6;0;0;1;;0;2,51;2,915;2,78;2,645;2,375;2,24;2,5775;3,758;3,404;2,9825;2,5775;2,915;15,305;13,27;76,95;34,18;19,96;13,825;10,388;8,14;6,5;5,604;5,156;4,643;4,2005;3,758;3,3155;3,05;3,581;3,581;2,8475;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74320000;1;01/09/2008;;1;1;77,52;2,105;11,2749;13;5;0;0;1;;0;2,645;2,51;2,375;2,24;2,24;9,625;10,859;7,195;5,492;4,3775;3,758;21,035;65,98;33,31;21,505;14,195;10,702;8,41;6,724;6,836;20,38;17,65;11,487;9,085;7,195;5,828;5,268;4,82;4,289;10,231;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
74320000;1;01/10/2008;;1;1;1119,6;7,6;57,7299;29;3;0;0;1;;0;12,272;11,487;8,275;242,7;112,65;54,43;33,89;24,09;19,33;16,415;18,49;16,81;13,64;14,195;9,917;9,625;16,045;94,515;43,48;27,84;20,38;16,6;21,975;56,86;45,56;75,24;102,88;54,16;400;136;59,875;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
