//------------------------------------------------------------------------------
//
// Sistema de Informações Hidrológicas
// Versão Web 3.0
// © 2001 Agência Nacional de Águas (ANA)
//
// NivelConsistencia: 1 = Bruto, 2 = Consistido
// MediaDiaria: 0 = Não, 1 = Sim
// MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
// Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca
//
// Restrições da consulta:
//   Código da Estação: 83105000
//
//------------------------------------------------------------------------------

//EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status;
83105000;1;01/01/2006;;1;1;17,9;0,468;1,97;25;21;1;1;1;;0;2,99;5,88;3,33;2,18;2,4;1,91;1,58;1,17;1,13;1,13;0,961;0,794;0,627;0,585;0,794;0,71;0,669;0,556;0,526;0,526;0,468;0,877;2,85;7,43;10,8;2,13;1,58;1,38;1,17;1,09;0,961;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
83105000;1;01/02/2006;;1;1;4,21;0,752;1,73;21;5;1;1;1;;0;0,919;0,919;0,835;0,835;0,752;2,4;2,07;1,69;1,38;1,25;1,13;1,69;2,51;2,4;1,91;1,69;2,46;2,29;2,02;1,8;3,87;2,85;2,24;1,86;1,38;1,25;1,13;1,04;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;;
83105000;1;01/03/2006;;1;1;11,3;0,292;1,18;26;18;1;1;1;;0;0,919;0,877;0,835;0,752;0,71;0,669;0,627;0,585;1,69;2,07;1,29;0,919;0,556;0,468;0,409;0,351;0,351;0,292;0,292;0,919;1;0,794;0,627;2,78;1,42;7,02;2,02;1,53;1,42;1,21;1,04;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
83105000;1;01/04/2006;;1;1;2,71;0,117;0,585;10;30;1;1;1;;0;0,877;0,752;0,669;0,627;0,556;0,468;0,409;0,409;1,29;2,71;2,58;1,42;0,439;0,409;0,409;0,409;0,351;0,322;0,292;0,234;0,234;0,234;0,234;0,234;0,175;0,175;0,175;0,175;0,175;0,117;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
83105000;2;01/09/1974;;1;1;;2,1716;;;25;0;1;0;;0;;;;;;;;;;;;;4,103;3,5858;3,2657;3,1129;2,8214;2,6825;2,6825;2,5482;2,5482;2,4183;2,4183;2,2928;2,1716;3,1129;3,5858;2,8214;2,5482;2,2928;;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
83105000;2;01/10/1974;;1;1;45,3831;1,5309;4,0123;26;22;1;1;1;;0;2,0546;2,0546;2,0546;2,2928;3,2657;2,5482;2,1716;1,9418;1,9418;1,9418;1,9418;1,9418;1,9418;1,9418;1,9418;1,8331;2,1716;2,0546;1,8331;1,7284;1,6277;1,5309;1,5309;3,9256;3,5858;45,3831;8,5241;4,8647;4,2856;4,103;3,4233;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
83105000;2;01/11/1974;;1;1;69,1127;2,1716;9,0573;6;19;1;1;1;;0;2,8214;2,4183;2,4183;2,2928;2,2928;69,1127;15,6721;8,2379;5,9386;4,8647;4,103;3,5858;4,4733;3,7532;3,1129;2,9648;2,6825;2,4183;2,1716;56,4405;19,3597;12,1071;8,2379;6,1703;5,0684;4,4733;3,9256;3,7532;3,4233;3,4233;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
83105000;2;01/12/1974;;1;1;4,6663;1,8331;2,686;18;25;1;1;1;;0;3,9256;4,2856;3,4233;3,1129;2,6825;2,5482;2,4183;2,2928;2,4183;2,2928;2,1716;2,1716;2,2928;2,1716;2,0546;1,9418;1,9418;4,6663;3,7532;2,6825;2,2928;2,1716;1,9418;1,9418;1,8331;2,2928;2,0546;4,2856;2,6825;2,4183;4,103;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
83105000;2;01/01/1975;;1;1;28,9664;1,6277;4,3855;8;5;1;1;1;;0;2,5482;2,1716;2,2928;2,1716;1,6277;1,9418;6,4078;28,9664;6,9005;7,417;5,0684;3,7532;3,1129;2,6825;2,4183;8,8167;6,6512;4,8647;3,4233;2,8214;2,5482;2,2928;2,1716;1,9418;1,9418;1,9418;1,9418;7,9581;2,6825;2,4183;2,0546;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
83105000;2;01/02/1975;;1;1;18,8709;1,9418;4,3514;2;13;1;1;1;;0;6,4078;18,8709;6,1703;4,2856;3,5858;3,1129;2,8214;3,4233;3,7532;3,2657;2,5482;2,0546;1,9418;8,2379;3,1129;2,2928;3,2657;4,103;3,4233;2,4183;2,1716;3,5858;2,5482;2,4183;4,2856;2,8214;5,4923;9,4212;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;
