//------------------------------------------------------------------------------
//
// Sistema de Informações Hidrológicas
// Versão Web 3.0
// © 2001 Agência Nacional de Águas (ANA)
//
// NivelConsistencia: 1 = Bruto, 2 = Consistido
// MediaDiaria: 0 = Não, 1 = Sim
// MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
// Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca
//
// Restrições da consulta:
//   Código da Estação: 84560000
//
//------------------------------------------------------------------------------

//EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status;
84560000;2;01/05/1939;;1;1;;;;;;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;56,4;46,9;44,7;40,3;36,08;35,16;37;33,32;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;
84560000;2;01/06/1939;;1;1;135;21,64;33,7773;28;26;1;1;1;;0;33,32;32,4;36,08;37;31,48;28,72;27,8;26,04;26,92;29,64;34,24;35,16;30,56;27,8;26,92;35,16;28,72;26,92;26,04;24,28;30,56;26,04;24,28;23,4;22,52;21,64;23,4;135;65,2;36,08;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
84560000;2;01/07/1939;;1;1;38,1;18,18;21,7871;1;21;1;1;1;;0;38,1;31,48;29,64;24,28;23,4;22,52;22,52;22,52;21,64;21,64;20,76;20,76;20,76;20,76;20,76;20,76;19,88;19,88;19;19;18,18;18,18;22,52;20,76;19;19;19;19;21,64;19,88;18,18;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
84560000;2;01/08/1939;;1;1;108,5;12,44;19,8006;22;20;1;1;1;;0;18,18;18,18;18,18;18,18;16,54;16,54;16,54;15,72;15,72;14,9;14,9;14,9;14,9;14,08;14,08;14,08;13,26;13,26;13,26;12,44;21,64;108,5;41,4;25,16;19,88;18,18;16,54;14,9;14,08;13,26;12,44;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
84560000;2;01/09/1939;;1;1;720;29,64;104,576;1;15;1;1;1;;0;720;547,5;236;99,3;204;106,2;71,6;49,4;39,2;34,24;33,32;32,4;30,56;30,56;29,64;34,24;45,8;93,2;91,3;144;87,5;50,8;43,6;38,1;46,9;60,6;39,2;35,16;32,4;30,56;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
84560000;2;01/10/1939;;1;1;132;15,72;33,1245;6;31;1;1;1;;0;31,48;37;41,4;32,4;49,4;132;62;46,9;41,4;34,24;32,4;30,56;28,72;31,48;27,8;26,92;25,16;23,4;21,64;20,76;19,88;24,28;35,16;34,24;26,92;22,52;19;18,18;17,36;16,54;15,72;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
84560000;2;01/11/1939;;1;1;1220;17,36;146,3487;18;1;1;1;1;;0;17,36;17,36;23,4;20,76;19,88;19;22,52;49,4;28,72;79,9;43,6;34,24;35,16;34,24;29,64;36,08;491;1220;349;144;168;87,5;59,2;48;56,4;912;141;87,5;62;53,6;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
84560000;2;01/12/1939;;1;1;444;40,3;89,9323;12;25;1;1;1;;0;48;46,9;48;55;68,4;59,2;46,9;60,6;48;43,6;48;444;282;256;138;91,3;65,2;57,8;50,8;48;65,2;53,6;60,6;45,8;40,3;53,6;224;71,6;68,4;52,2;46,9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
84560000;2;01/01/1940;;1;1;349;27,8;74,9858;7;22;1;1;1;;0;44,7;39,2;59,2;44,7;65,2;268,8;349;81,8;59,2;49,4;46,9;40,3;38,1;37;43,6;57,8;73,2;42,5;36,08;34,24;30,56;27,8;31,48;38,1;165;123;95,1;138;65,2;53,6;45,8;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
84560000;2;01/02/1940;;1;1;1060;46,9;163,7828;18;5;1;1;1;;0;50,8;50,8;74,8;57,8;46,9;240;349;85,6;59,2;49,4;63,6;89,4;70;78;81,8;78;252;1060;335,5;735;256;135;93,2;74,8;68,4;60,6;56,4;50,8;46,9;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;
