//------------------------------------------------------------------------------
//
// Sistema de Informações Hidrológicas
// Versão Web 3.0
// © 2001 Agência Nacional de Águas (ANA)
//
// NivelConsistencia: 1 = Bruto, 2 = Consistido
// MediaDiaria: 0 = Não, 1 = Sim
// MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
// Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca
//
// Restrições da consulta:
//   Código da Estação: 73765000
//
//------------------------------------------------------------------------------

//EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status;
73765000;1;01/01/2006;;1;1;2,44;0,008;0,795;25;13;1;1;1;;0;0,278;0,359;1,2;1,01;0,71;0,554;0,398;0,267;0,162;0,087;0,034;0,014;0,009;0,495;0,437;0,398;0,69;1,14;1,11;0,924;0,863;0,74;0,69;0,612;2,26;1,85;1,8;1,76;1,41;1,23;1,14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73765000;1;01/02/2006;;1;1;1,01;0,004;0,289;1;20;1;1;1;;0;0,984;0,771;0,593;0,437;0,339;0,267;0,236;0,204;0,162;0,152;0,131;0,12;0,105;0,152;0,247;0,417;0,194;0,097;0,056;0,004;0,02;0,02;0,288;0,456;0,398;0,359;0,437;0,456;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;;
73765000;1;01/03/2006;;1;1;6,1;0,398;2,07;23;1;1;1;1;;0;0,417;0,632;1,2;1,29;1,72;1,08;0,954;0,801;0,954;0,924;1,32;1,08;0,924;0,74;0,632;0,515;0,417;0,801;4,32;2,38;4,55;3,62;5,72;4,86;4,47;4,32;3,33;2,62;2,85;2,62;2,07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73765000;1;01/04/2006;;1;1;11;0,632;1,94;10;8;1;1;1;;0;1,67;1,41;1,2;0,984;0,863;0,771;0,71;0,651;2,56;10,4;6,69;4,24;3,03;2,32;2,07;1,94;1,8;1,58;1,36;1,32;1,26;1,2;1,14;1,11;1,08;1,11;1,01;0,984;0,893;0,832;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73765000;1;01/08/2006;;1;1;21,4;0,278;1,92;16;12;1;1;1;;0;1,01;0,954;0,863;0,69;0,612;0,573;0,495;0,437;0,309;0,32;0,309;0,288;0,417;0,359;0,554;11,7;12,3;6,3;4,09;3,09;2,38;1,85;1,54;1,36;1,2;1,05;0,984;0,924;0,893;0,832;0,74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73765000;1;01/09/2006;;1;1;10,4;0,71;3,25;2;1;1;1;1;;0;1,32;8,9;5,91;4,09;3,09;2,5;2,02;1,8;3,62;6,3;5,33;4,63;3,78;3,15;2,44;1,98;1,8;1,72;1,58;1,45;4,47;5,52;4,24;3,7;3,09;2,44;2,02;1,72;1,45;1,32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73765000;1;01/10/2006;;1;1;37,3;0,632;3,84;1;28;1;1;1;;0;13,8;28;10,4;7,95;6,2;7,24;5,43;4,63;3,78;2,97;2,38;1,94;1,72;1,54;1,29;1,63;1,36;1,36;1,26;1,17;1,11;1,01;0,924;0,863;0,771;0,71;0,671;0,632;1,76;2,5;2,11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73765000;1;01/11/2006;;1;1;42,3;0,71;4,28;19;18;1;1;1;;0;2,11;2,16;1,94;1,67;1,45;1,89;5,72;5,81;4,01;2,91;2,2;1,76;1,5;1,2;0,984;0,863;0,801;1,72;23,7;20,8;13;6,49;4,55;3,27;2,68;2,11;1,98;2,44;3,09;3,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73765000;1;01/12/2006;;1;1;107;0,593;9,77;25;14;1;1;1;;0;2,91;2,16;1,76;1,41;1,2;1,08;1,01;1,29;1,41;1,14;0,954;0,863;0,71;0,612;0,954;1,45;1,14;0,984;0,893;2,85;2,97;2,68;5,43;80,5;91,8;55,9;19,3;8,07;4,16;2,85;2,32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73765000;1;01/01/2007;;1;1;19,3;0,515;2,4323;20;18;1;1;1;;0;2,676;2,112;1,848;1,496;1,32;1,259;1,198;1,076;0,954;0,832;0,771;0,71;0,671;0,632;0,593;0,554;0,554;0,515;0,593;18,54;12,44;5,134;3,545;2,795;2,112;1,76;1,936;1,848;2,112;1,496;1,32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
