//------------------------------------------------------------------------------
//
// Sistema de Informações Hidrológicas
// Versão Web 3.0
// © 2001 Agência Nacional de Águas (ANA)
//
// NivelConsistencia: 1 = Bruto, 2 = Consistido
// MediaDiaria: 0 = Não, 1 = Sim
// MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
// Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca
//
// Restrições da consulta:
//   Código da Estação: 72630000
//
//------------------------------------------------------------------------------

//EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status;
72630000;1;01/01/2006;;1;1;72,16;19,36;29,84678;2;18;0;0;1;;0;43,9;71,725;59,98;47,8;37,55;32,025;28,45;26,5;23,8;22;21,1;21,4;22;28,775;28,125;23,5;21,7;20,215;19,93;22;25,6;24,4;25,9;29,75;34,05;35,8;31,7;27,475;24,1;23,2;20,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72630000;1;01/02/2006;;1;1;49,5;11,8;20,8;16;12;1;1;1;;0;19,1;17,9;16,5;15,9;16,2;15,7;18,2;17,1;15,9;14,8;13,8;12,6;11,8;13,3;14,3;37,2;43,9;30,7;25,9;19,6;19,6;32;31;28,1;23,8;20,8;18,5;17,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;
72630000;1;01/03/2006;;1;1;82,9;12,82;31,22992;21;17;0;0;1;;0;22,9;31,7;27,8;51,715;49,105;35,8;28,45;24,4;21,1;19,645;18,505;17,365;16,225;15,085;14,5525;13,81;13,315;15,37;17,65;39,65;77,5;61,285;45,46;41,56;37,55;33,7;27,475;25;33,7;49,975;40,78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72630000;1;01/04/2006;;1;1;35,1;14,8;19,80967;1;20;3;3;3;;0;34,4;29,75;25,9;24,1;22,3;19,93;19,93;17,65;15,37;24,1;25,3;22,9;21,1;19,36;18,22;17,65;16,51;16,51;15,94;15,37;15,94;18,79;21,7;20,5;17,65;16,51;15,94;15,37;14,8;14,8;;;;;;;;;3;3;;;;;;;;;;;;;;;;;;;;;;;
72630000;1;01/05/2006;;1;1;18,2;10,3;13,6;21;29;1;1;1;;0;14,3;14,8;13,8;13,8;13,8;13,8;13,6;11,8;15,4;14,8;15,7;14,3;13,3;13,1;12,6;12,8;12,8;12,3;12,3;13,1;18,2;15,7;15,4;13,6;13,1;12,8;12,6;12,3;10,3;13,1;12,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72630000;1;01/06/2006;;1;1;106;11,3;33,2;27;3;1;1;1;;0;11,6;12,3;11,3;11,8;12,8;14,1;14,3;13,3;12,6;13,3;16,8;18,8;19,6;17,6;15,7;15,7;16,5;16,5;15,4;15,1;16,5;87,2;104;66,1;50,8;85,1;106;77,5;59,5;48,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
72630000;1;01/07/2006;;1;1;187;18,2;50,8;28;22;1;1;1;;0;42,7;38,3;35,1;32;30,1;27,8;26,2;25;28,5;40,8;35,8;31;28,1;25,9;24,1;23,5;22,6;21,1;20,5;20,5;19,6;18,5;19,1;18,2;25,9;159;185;187;152;119;91,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72630000;1;01/08/2006;;1;1;526;30,1;88,2;17;14;1;1;1;;0;74,3;63;54,8;49,1;44,3;41,2;39,3;41,6;36,5;34,8;36,8;34,4;32;30,1;36,5;409;526;242;146;114;93,6;80,7;70,9;63,9;58,7;53,9;51,7;48,7;45,1;42;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72630000;1;01/09/2006;;1;1;73,9;29,8;46,5;16;30;1;1;1;;0;42;53,9;55,6;47,8;42,3;39;36,8;35,1;37,5;48,7;52,2;43,5;39,3;35,1;36,5;73;70;55,6;47;45,1;69,5;65,6;56,5;49,5;46,2;40;36,2;33;31,4;30,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72630000;1;01/10/2006;;1;1;29,8;14,8;22,5;17;29;1;1;1;;0;29,1;29,1;27,5;26,5;25,3;25,6;24,4;23,2;21,7;21,4;21,7;25;23,5;22,6;22,3;24,1;28,1;26,2;26,8;25;23,5;21,4;19,6;17,9;18,2;17,6;16,5;15,9;14,8;15,1;17,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
