//------------------------------------------------------------------------------
//
// Sistema de Informações Hidrológicas
// Versão Web 3.0
// © 2001 Agência Nacional de Águas (ANA)
//
// NivelConsistencia: 1 = Bruto, 2 = Consistido
// MediaDiaria: 0 = Não, 1 = Sim
// MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
// Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca
//
// Restrições da consulta:
//   Código da Estação: 72849000
//
//------------------------------------------------------------------------------

//EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status;
72849000;1;01/01/2007;;1;1;132;26,8;51,6;5;26;2;2;2;;0;45;47;50;85;132;105;91,5;66;45;40;45;55;78,5;55;42;36;28,3;30,1;28,3;40;60;52,5;45;36;28,3;26,8;32;38,4;42,5;50;42,5;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;;;
72849000;1;01/02/2007;;1;1;;;59;;;0;0;2;;0;;;;;;;;;;;;;;;;;;;;43;66;91,5;91,5;98;204;167;91,5;72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;
72849000;1;01/03/2007;;1;1;268;32;80,4;3;25;1;1;1;;0;72;78,5;268;142;106;91,5;78,5;55;50;45;47,5;45;181;162;106;79,8;69;91,5;98;78,5;55;45;45;40;32;50;91,5;73,3;45;36;35,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72849000;1;01/04/2007;;1;1;708;26,8;135;27;11;1;1;1;;0;36;28,3;48;66;62,4;56,5;50;40;46,5;38,4;26,8;28,3;60;66;257;317;178;109;85;66;50;49;45;91,5;212;538;708;340;202;148;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
72849000;1;01/05/2007;;1;1;1190;45;267;22;5;2;2;2;;0;122;98;98;85;45;55;50;132;252;160;122;98;112;91,5;132;132;812;965;525;340;458;1190;670;425;285;212;169;142;117;98;91,5;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;2;
72849000;1;01/06/2007;;1;1;91,5;19,8;40,4;1;30;2;2;2;;0;91,5;78,5;72;70,8;67;59,7;58,5;57,3;51,5;50;46;38,4;38,5;36,5;33,5;31,5;28,7;26,8;25,9;25;25;24,1;23,3;23,3;21,5;21,5;21,5;21,5;21,5;19,8;;;;;;2;2;2;2;2;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;
72849000;1;01/07/2007;;1;1;412;17,4;136;10;7;2;2;2;;0;21,3;21,9;27,5;25,3;20,6;18;17,4;18;195;412;207;153;181;178;153;105;95,4;169;164;139;105;132;407;275;214;195;145;139;105;85;81,1;;;;;;;;;;;2;;2;;;;;;;;;;;;;;;;;;;
72849000;1;01/08/2007;;1;1;102;15,2;37,2;31;24;1;1;1;;0;73,3;67,2;61,2;50;51;48;47;41;36;36,8;34;34;34,4;32;31,3;32;30,5;26,8;24,5;27,5;24,5;23,2;24,5;15,2;18;21,3;31,3;24,5;25,3;24,5;102;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72849000;1;01/09/2007;;1;1;525;24,5;96,1;1;15;2;2;2;;0;525;236;139;98;74,6;57;50;42,5;34,4;35,2;31,3;27,5;26;25,3;24,5;24,5;24,5;24,5;29;24,5;30,5;58;252;322;212;129;98;91,5;75,3;60;;;;;;;;;;;;2;2;2;2;2;;;;;;;;;;;;;;;;0;
72849000;1;01/10/2007;;1;1;950;32;161;16;5;2;2;2;;0;58;47;40;40;33,6;33,6;33,6;36,8;32;32;40;60;264;241;156;950;826;422;252;187;153;140;112;96,7;82,4;75,9;66;60;72;132;214;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72849000;1;01/11/2007;;1;1;935;40;209;3;29;1;1;1;;0;264;785;935;452;295;195;153;132;111;109;139;132;91,5;178;632;331;221;153;145;142;124;91,5;85;72;55;50;55;54;40;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
72849000;1;01/12/2007;;1;1;;;83,8;;;0;0;2;;0;36;35,2;34,4;28,3;29,8;178;204;132;81,1;67,2;105;187;135;98;66;52;45;;;;;;;;;;;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72849000;1;01/01/2008;;1;1;160;21,9;62,0839;20;30;0;0;1;;0;85;122;105;98;138,5;112;83,7;60;47;40;36,8;46;46;38,4;32,8;32;31,25;31,25;91,5;160;112;75,9;55;39,2;31,25;29;32;32,8;30,5;25,25;24,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72849000;1;01/02/2008;;1;1;60;15,76;29,0648;1;9;0;0;1;;0;40;50;52;28,25;25,25;29;24,5;18;16,88;18;26,75;24,5;24,5;21,25;22,55;27,5;28,25;28,25;36;47,5;40;32;24,5;28,25;32;24,5;24,5;28,25;19,95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;
72849000;1;01/03/2008;;1;1;60;5,76;20,7435;23;9;0;0;1;;0;28,25;28,25;32,8;26;23,85;19,3;23,2;18;10,16;9,48;11,76;12,6;16,88;25,25;24,5;18;18;16,88;10,5;13,12;11,76;17,44;50;40;29,75;21,25;17,72;16,32;15,2;19,95;16,88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72849000;1;01/04/2008;;1;1;295;4,4;67,7313;14;9;0;0;1;;0;18;16,32;15,2;14,68;15,2;13,64;13,64;13,64;7,96;9,48;7,4;16,88;27,5;241;178;105;78,5;78,5;85;78,5;142,4;134,6;98;75,9;60;44;41;40;132;230;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
72849000;1;01/05/2008;;1;1;178;17,35;55,6234;1;26;0;0;1;;0;160;143,7;152,5;152,5;135,9;120;92,8;66;64,8;60;49;48;38,4;34,4;35,2;32,8;31,25;22,55;24,5;23,85;22,225;23,85;22,55;19,95;18,65;18,975;19,625;18,975;21,25;25,25;24,875;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72849000;1;01/06/2008;;1;1;383;23,2;104,4817;29;1;0;0;1;;0;23,2;23,85;32,4;207,75;154,75;133,3;95,4;59;56;60;56,5;85;145;142,4;145;130;99,4;79,15;65,4;50,5;46,5;47,5;46;39,6;38;38;187,35;272,7;361;213,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
72849000;1;01/07/2008;;1;1;157;18;42,2016;1;31;0;0;1;;0;151;105,7;107,8;77,2;76,55;58,5;47;43;42;43;41;40;37,2;30,875;32,4;31,625;30,125;24,5;23,85;23,2;20,6;21,9;26,75;26;22,55;22,55;21,9;21,9;19,95;18,975;18,65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72849000;1;01/08/2008;;1;1;291;21,25;55,9444;15;28;0;0;1;;0;22,225;27,875;33,6;32;32;26,75;28,25;37,6;45;40;40;41;50;52;241;246,5;138,5;107,1;73,95;58;52;45;40;36,8;36,8;32;23,85;22,875;23,85;22,875;24,875;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72849000;1;01/09/2008;;1;1;933;18;104,2583;13;1;0;0;1;;0;21,25;21,25;18;18,65;18;59;137,2;83,7;55;61,2;66;165,4;827;378,6;216,5;156,25;120;81,75;72;60;66;69;61,8;49;45;40;45;42;38,4;34,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
72849000;1;01/10/2008;;1;1;1383;30,5;257,2403;30;1;2;2;2;;0;31,25;78,5;69,6;201,8;693,2;338,2;206,9;146,5;105;87,6;78,5;59;55;52;59;59;165,4;562;394,5;221;167,2;135,9;118;334,6;308,5;305,8;387,6;285;581,1;1163,5;523,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;
72849000;1;01/11/2008;;1;1;910,8;32;224,5533;13;30;0;0;1;;0;338,2;565,4;650;374,2;269,25;241;164,5;122;142,4;142,4;169;771;754;385,3;252;195;145;132;100,8;98,7;115;103,6;116;90,85;70,8;53;52;46;42;35,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
72849000;1;01/12/2008;;1;1;79,8;6,2;29,9644;25;13;0;0;1;;0;41;38,4;26,75;23,85;22,55;21,25;19,3;19,95;21,9;23,85;34,4;36,8;12,6;28,25;27,5;45;51;39,2;38,4;30,5;17,44;17,44;19,3;24,5;59;58;36,8;21,25;29,375;32;11,34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72849000;1;01/01/2009;;1;1;219,2;18;75,0952;29;1;0;0;1;;0;19,95;30,125;66;82,4;98;67,8;44;34;31,625;49;138,5;155,5;134,6;84,35;67,2;55;122;135,9;100,8;91,5;96,7;71,4;56,5;49;39,6;34,4;32;29;178;81,1;52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72849000;1;01/02/2009;;1;1;334,6;24,5;62,8063;25;9;0;0;1;;0;37,2;32;32,4;58;57,5;45;34;28,25;26,75;27,5;29,375;51,5;51;38;34,4;28,25;26,75;35,2;35,2;29,75;38,4;126;107,8;91,5;292;156,25;110,6;98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;
72849000;1;01/03/2009;;1;1;128;13,64;36,2476;1;31;0;0;1;;0;112;99,4;79,8;67,2;52;45;36;34,4;39,2;42,5;38,8;38;39,2;37,2;32,8;26,375;25,625;23,525;22,55;27,125;21,9;20,925;18;22,55;21,9;21,25;18,65;14,68;15,2;15,76;14,16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72849000;1;01/04/2009;;1;1;15,76;3,6;11,0293;23;17;0;0;1;;0;13,12;13,12;12,6;11,55;9,65;12,18;11,55;13,12;11,97;10,71;9,65;9,48;8,8;9,14;9,48;9,82;7,28;9,82;6,8;10,92;6,2;11,97;11,34;14,16;14,68;13,64;13,9;11,76;11,55;10,92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
