//------------------------------------------------------------------------------
//
// Sistema de Informações Hidrológicas
// Versão Web 3.0
// © 2001 Agência Nacional de Águas (ANA)
//
// NivelConsistencia: 1 = Bruto, 2 = Consistido
// MediaDiaria: 0 = Não, 1 = Sim
// MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
// Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca
//
// Restrições da consulta:
//   Código da Estação: 73780000
//
//------------------------------------------------------------------------------

//EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status;
73780000;1;01/01/2006;;1;1;42,9;0,567;4,25;26;12;1;1;1;;0;1,37;4,64;6,08;3,95;2,6;1,84;1,45;1,25;1,04;0,84;0,781;0,625;0,645;0,664;0,625;1;0,963;1,33;1,58;1,58;1,29;1,04;1,04;1,58;12,3;32,8;14,9;10,7;9,36;7,51;4,43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73780000;1;01/02/2006;;1;1;4,84;0,84;1,87;7;19;1;1;1;;0;3,32;2,72;2,6;2,25;1,72;2,66;4,43;3,32;2,49;2,01;1,62;1,45;1,29;1,41;1,33;1,09;1,09;1;0,881;1,09;1,13;1,04;1,58;2,37;1,95;1,62;1,5;1,29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;
73780000;1;01/03/2006;;1;1;30,5;1,17;6,37;26;1;1;1;1;;0;1,25;1,66;2,49;4,84;5,87;4,84;3,48;2,6;2,31;2,49;4,11;3;2,25;1,78;1,54;1,45;1,29;1,33;2,72;4,64;6,28;7,64;8,67;15,4;22,6;27,5;14,7;9,66;10,3;10,9;7,77;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73780000;1;01/04/2006;;1;1;49,2;1,66;7,4;10;8;1;1;1;;0;5,87;4,64;3,71;3,32;2,72;2,31;2,01;1,78;5,87;43,5;22,6;14;9,51;7,26;6,28;13,2;13,2;10,9;8,28;6,62;5,05;5,15;4,74;3,95;3;2,92;2,66;2,54;2,31;2,01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73780000;1;01/05/2006;;1;1;1,66;0,606;0,988;1;29;1;1;1;;0;1,66;1,62;1,54;1,41;1,37;1,25;1,33;1,25;1,17;1,17;1,09;1,04;1;1;0,963;0,84;0,801;0,762;0,742;0,801;0,781;0,762;0,723;0,703;0,684;0,723;0,742;0,723;0,645;0,703;0,645;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73780000;1;01/06/2006;;1;1;3,16;0,528;0,873;27;21;1;1;1;;0;0,606;0,606;0,606;0,645;0,606;0,606;0,606;0,606;0,664;0,801;1;0,963;0,82;0,684;0,684;0,684;0,664;0,625;0,586;0,567;0,547;0,606;0,567;0,528;0,528;0,84;2,84;2,72;1,9;1,5;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
73780000;1;01/09/2006;;1;1;50,5;1,9;10,2;2;1;1;1;1;;0;2,01;27,3;27,3;17,5;10,6;8,03;6,49;5,46;6,08;19,7;14,3;11,3;8,92;7;6,28;5,46;5,25;4,43;3,63;4,84;25,6;15,1;13,4;12,5;9,81;7,9;6,49;5,46;4,84;4,27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73780000;1;01/10/2006;;1;1;76,4;1,17;9,64;2;29;1;1;1;;0;7,77;51,2;31,4;23,1;18,8;17,3;16,2;12,8;10,6;8,03;6,75;6,39;5,87;5,05;4,35;5,87;5,56;5,36;4,53;3,95;2,66;3;2,66;2,31;2,07;1,78;1,54;1,37;1,21;13,2;16,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73780000;1;01/11/2006;;1;1;70,2;2,37;17,4;7;17;1;1;1;;0;19,7;14;11,8;10,6;9,36;11;68;57,6;49,2;41,6;33,7;15,4;4,27;3,48;3;2,72;2,49;3,63;37,6;30;26,2;14;9,51;7,77;6,75;5,87;5,05;4,84;7,26;5,15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73780000;1;01/12/2006;;1;1;129;1,66;14;24;16;1;1;1;;0;4,35;4,19;4,03;3,48;2,92;2,92;3,24;2,92;3,71;3,56;3,24;3;2,49;2,13;2,01;1,78;1,78;2,01;2,6;3,95;4,74;5,46;6,28;94,5;94,5;56,5;41,6;30,5;17,5;11,2;9,66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73780000;1;01/01/2007;;1;1;47,94;0,84;5,7416;20;17;0;0;1;;0;8,282;7,258;6,284;5,46;4,636;3,953;3,317;2,722;2,25;1,778;1,66;1,496;1,332;1,209;1,086;1,004;0,84;1,004;1,25;28,88;27,26;14,875;8,794;6,746;5,872;4,43;5,46;4,945;5,048;4,43;4,43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73780000;1;01/02/2007;;1;1;24,4;1,09;6,79;22;17;1;1;1;;0;5,25;3,95;3,32;2,49;2,01;2,19;4,11;2,66;2,01;1,78;2,37;2,49;2,25;1,78;1,45;1,21;1,09;2,25;11,8;23,6;16,7;24,4;20,4;13,6;10,6;9,66;8,54;6,18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;0;0;0;
73780000;1;01/03/2007;;1;1;174;1,896;16,7356;3;31;0;0;1;;0;4,739;3,8735;147,6;42,9;22,6;13,95;11,6425;8,794;6,078;5,151;4,636;3,953;3,794;3,794;11,185;9,05;13,765;68,76;60,12;22,6;8,922;8,282;7,002;5,254;4,0325;3,7145;3,317;2,722;2,427;2,191;1,955;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73780000;1;01/04/2007;;1;1;529;2,78;54;26;5;2;2;2;;0;3,63;10,4;7,26;3,63;2,78;3;5,25;7,26;10,6;11;8,92;8,15;11;16;365;105;36,6;22,6;14,9;11,2;9,97;8,67;7,13;4,84;168;529;128;55,8;30;15,8;;;;;;;;;;;;;;2;2;;;;;;;;;;;;;;;;;0;
73780000;1;01/05/2007;;1;1;405;8,026;64,6481;22;31;0;0;1;;0;12,1;13,58;26,72;20,85;14,875;11,9475;12,1;249,5;90,06;40,26;24,6;16,875;14,69;15,06;12,84;13,21;369,5;146,4;59,4;35,72;162;362;104,94;54,48;35,14;24,1;17,52;14,32;11,49;9,66;8,154;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73780000;1;01/06/2007;;1;1;7,514;1,578;3,1443;1;29;0;0;1;;0;7,386;7,002;6,618;5,872;5,357;4,636;4,1915;3,8735;3,5555;3,476;3,2375;2,9195;2,781;2,663;2,545;2,309;2,132;2,191;2,132;2,073;1,955;1,896;1,719;1,66;1,837;1,66;1,719;1,778;1,578;1,578;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
